Dataset, Rho, Pool time, Naive time, Recall, Precision
imagenet, 0.7, 2.544, 390.214, 1, 1
imagenet, 0.8, 2.149, 378.306, 1, 1
imagenet, 0.9, 1.764, 370.399, 1, 1
imagenet, 0.95, 1.897, 377.555, 1, 1
imdb_wiki, 0.7, 62.93, 152.685, 1, 1
imdb_wiki, 0.8, 55.441, 153.825, 1, 1
imdb_wiki, 0.9, 49.559, 154.875, 1, 1
imdb_wiki, 0.95, 48.6, 166.983, 1, 1
insta_1m, 0.7, 37.401, 300.598, 1, 1
insta_1m, 0.8, 31.939, 292.774, 1, 1
insta_1m, 0.9, 28.588, 298.571, 1, 1
insta_1m, 0.95, 26.194, 299.006, 1, 1
mirflickr, 0.7, 37.432, 299.279, 1, 1
mirflickr, 0.8, 34.232, 318.038, 1, 1
mirflickr, 0.9, 31.162, 312.516, 1, 1
mirflickr, 0.95, 25.12, 318.431, 1, 1
