Dataset,Algorithm,N/K,Value,Time (ms)
imagenet,single,N=1000,,0.052832067012786865
imagenet,single,N=2000,,0.06893090903759003
imagenet,single,N=4000,,0.08570589125156403
imagenet,single,N=8000,,0.12237764894962311
imagenet,single,N=16000,,0.171540305018425
imagenet,single,N=32000,,0.25224313139915466
imagenet,single,N=64000,,0.33138133585453033
imagenet,single,N=128000,,0.5235001444816589
imagenet,single,N=256000,,0.9697377681732178
imagenet,single,N=512000,,2.0767226815223694
imagenet,single,K=1,,4.860348999500275
imagenet,single,K=2,,5.549106746912003
imagenet,single,K=5,,5.043422803282738
imagenet,single,K=10,,5.141740664839745
imagenet,single,K=25,,4.733014851808548
imagenet,single,K=50,,5.168143659830093
imagenet,single,K=100,,5.238305777311325
imagenet,single,K=200,,4.864200949668884
imagenet,single,K=500,,4.88775409758091
imagenet,single,K=1000,,5.3055062890052795
imagenet,single_threaded,N=1000,,0.0515226274728775
imagenet,single_threaded,N=2000,,0.06564892828464508
imagenet,single_threaded,N=4000,,0.07821060717105865
imagenet,single_threaded,N=8000,,0.11291168630123138
imagenet,single_threaded,N=16000,,0.7705967873334885
imagenet,single_threaded,N=32000,,1.3635419309139252
imagenet,single_threaded,N=64000,,2.649649977684021
imagenet,single_threaded,N=128000,,5.0097983330488205
imagenet,single_threaded,N=256000,,9.643007069826126
imagenet,single_threaded,N=512000,,18.59699934720993
imagenet,single_threaded,K=1,,9.500643238425255
imagenet,single_threaded,K=2,,14.87257331609726
imagenet,single_threaded,K=5,,27.297668159008026
imagenet,single_threaded,K=10,,44.24360208213329
imagenet,single_threaded,K=25,,84.95326340198517
imagenet,single_threaded,K=50,,136.49480789899826
imagenet,single_threaded,K=100,,211.87221072614193
imagenet,single_threaded,K=200,,325.76993480324745
imagenet,single_threaded,K=500,,487.6534454524517
imagenet,single_threaded,K=1000,,554.7211468219757
imagenet,single_parallel,N=1000,,0.030662864446640015
imagenet,single_parallel,N=2000,,0.02693943679332733
imagenet,single_parallel,N=4000,,0.02939067780971527
imagenet,single_parallel,N=8000,,0.0491216778755188
imagenet,single_parallel,N=16000,,0.05735084414482117
imagenet,single_parallel,N=32000,,0.0958070158958435
imagenet,single_parallel,N=64000,,0.14654360711574554
imagenet,single_parallel,N=128000,,0.19550882279872894
imagenet,single_parallel,N=256000,,0.3767721354961395
imagenet,single_parallel,N=512000,,0.8032210171222687
imagenet,single_parallel,K=1,,1.6876030713319778
imagenet,single_parallel,K=2,,1.7480198293924332
imagenet,single_parallel,K=5,,1.7631296068429947
imagenet,single_parallel,K=10,,1.7951149493455887
imagenet,single_parallel,K=25,,1.8585901707410812
imagenet,single_parallel,K=50,,1.858184114098549
imagenet,single_parallel,K=100,,1.9037500023841858
imagenet,single_parallel,K=200,,1.8795747309923172
imagenet,single_parallel,K=500,,1.929011195898056
imagenet,single_parallel,K=1000,,2.0065270364284515
imagenet,double,N=1000,,0.051641836762428284
imagenet,double,N=2000,,0.06741844117641449
imagenet,double,N=4000,,0.07975287735462189
imagenet,double,N=8000,,0.12472085654735565
imagenet,double,N=16000,,0.19308924674987793
imagenet,double,N=32000,,0.2918131649494171
imagenet,double,N=64000,,0.46641379594802856
imagenet,double,N=128000,,0.6133690476417542
imagenet,double,N=256000,,1.2766681611537933
imagenet,double,N=512000,,2.5624576956033707
imagenet,double,K=1,,4.898795858025551
imagenet,double,K=2,,4.978317767381668
imagenet,double,K=5,,5.05828857421875
imagenet,double,K=10,,5.044987425208092
imagenet,double,K=25,,5.105568096041679
imagenet,double,K=50,,5.207151174545288
imagenet,double,K=100,,4.822591319680214
imagenet,double,K=200,,4.806423559784889
imagenet,double,K=500,,5.094459280371666
imagenet,double,K=1000,,5.342427641153336
imagenet,double_threaded,N=1000,,0.012442469596862793
imagenet,double_threaded,N=2000,,0.01710653305053711
imagenet,double_threaded,N=4000,,0.02000853419303894
imagenet,double_threaded,N=8000,,0.032242387533187866
imagenet,double_threaded,N=16000,,0.05256570875644684
imagenet,double_threaded,N=32000,,0.09299255907535553
imagenet,double_threaded,N=64000,,0.13405457139015198
imagenet,double_threaded,N=128000,,0.1893863081932068
imagenet,double_threaded,N=256000,,0.3658663481473923
imagenet,double_threaded,N=512000,,0.7508136332035065
imagenet,double_threaded,K=1,,1.777011901140213
imagenet,double_threaded,K=2,,1.7743948847055435
imagenet,double_threaded,K=5,,1.7582587897777557
imagenet,double_threaded,K=10,,1.7906241118907928
imagenet,double_threaded,K=25,,1.8071923404932022
imagenet,double_threaded,K=50,,1.8858667463064194
imagenet,double_threaded,K=100,,1.8929596990346909
imagenet,double_threaded,K=200,,1.849411055445671
imagenet,double_threaded,K=500,,1.9313935190439224
imagenet,double_threaded,K=1000,,2.025008201599121
imdb_wiki,single,N=1000,,0.16793422400951385
imdb_wiki,single,N=2000,,0.2990737557411194
imdb_wiki,single,N=4000,,0.6829015910625458
imdb_wiki,single,N=8000,,1.6319919377565384
imdb_wiki,single,N=16000,,3.4880507737398148
imdb_wiki,single,N=32000,,7.912913337349892
imdb_wiki,single,N=64000,,16.62180945277214
imdb_wiki,single,N=128000,,30.138853937387466
imdb_wiki,single,N=256000,,61.75578571856022
imdb_wiki,single,N=512000,,123.63156490027905
imdb_wiki,single,K=1,,134.66989807784557
imdb_wiki,single,K=2,,125.05964003503323
imdb_wiki,single,K=5,,125.303003937006
imdb_wiki,single,K=10,,128.44551913440228
imdb_wiki,single,K=25,,129.69864159822464
imdb_wiki,single,K=50,,133.03117640316486
imdb_wiki,single,K=100,,135.175796225667
imdb_wiki,single,K=200,,137.92205974459648
imdb_wiki,single,K=500,,143.45142617821693
imdb_wiki,single,K=1000,,160.22734344005585
imdb_wiki,single_threaded,N=1000,,0.1606568694114685
imdb_wiki,single_threaded,N=2000,,0.29603950679302216
imdb_wiki,single_threaded,N=4000,,0.6626583635807037
imdb_wiki,single_threaded,N=8000,,1.622157171368599
imdb_wiki,single_threaded,N=16000,,2.2257398813962936
imdb_wiki,single_threaded,N=32000,,4.2420607060194016
imdb_wiki,single_threaded,N=64000,,8.427148684859276
imdb_wiki,single_threaded,N=128000,,16.581565141677856
imdb_wiki,single_threaded,N=256000,,29.47567217051983
imdb_wiki,single_threaded,N=512000,,57.72406421601772
imdb_wiki,single_threaded,K=1,,43.82305592298508
imdb_wiki,single_threaded,K=2,,46.50998115539551
imdb_wiki,single_threaded,K=5,,52.36092209815979
imdb_wiki,single_threaded,K=10,,58.87582525610924
imdb_wiki,single_threaded,K=25,,73.39833118021488
imdb_wiki,single_threaded,K=50,,91.11039526760578
imdb_wiki,single_threaded,K=100,,116.03716015815735
imdb_wiki,single_threaded,K=200,,148.759875446558
imdb_wiki,single_threaded,K=500,,213.59107084572315
imdb_wiki,single_threaded,K=1000,,263.2893677800894
imdb_wiki,single_parallel,N=1000,,0.03199838101863861
imdb_wiki,single_parallel,N=2000,,0.07004477083683014
imdb_wiki,single_parallel,N=4000,,0.14786794781684875
imdb_wiki,single_parallel,N=8000,,0.5047321319580078
imdb_wiki,single_parallel,N=16000,,1.4264751225709915
imdb_wiki,single_parallel,N=32000,,3.6573410034179688
imdb_wiki,single_parallel,N=64000,,7.172290235757828
imdb_wiki,single_parallel,N=128000,,13.366470113396645
imdb_wiki,single_parallel,N=256000,,23.972462862730026
imdb_wiki,single_parallel,N=512000,,44.368889182806015
imdb_wiki,single_parallel,K=1,,44.86929066479206
imdb_wiki,single_parallel,K=2,,44.67199184000492
imdb_wiki,single_parallel,K=5,,44.99172978103161
imdb_wiki,single_parallel,K=10,,46.12272046506405
imdb_wiki,single_parallel,K=25,,46.74074798822403
imdb_wiki,single_parallel,K=50,,46.59436456859112
imdb_wiki,single_parallel,K=100,,47.42690734565258
imdb_wiki,single_parallel,K=200,,49.25050213932991
imdb_wiki,single_parallel,K=500,,51.71808414161205
imdb_wiki,single_parallel,K=1000,,54.01299148797989
imdb_wiki,double,N=1000,,0.1592598855495453
imdb_wiki,double,N=2000,,0.29739178717136383
imdb_wiki,double,N=4000,,0.7511824369430542
imdb_wiki,double,N=8000,,2.0396094769239426
imdb_wiki,double,N=16000,,4.740152508020401
imdb_wiki,double,N=32000,,10.21571084856987
imdb_wiki,double,N=64000,,22.28979580104351
imdb_wiki,double,N=128000,,39.883363991975784
imdb_wiki,double,N=256000,,69.9913427233696
imdb_wiki,double,N=512000,,129.61689569056034
imdb_wiki,double,K=1,,127.17694789171219
imdb_wiki,double,K=2,,125.39320811629295
imdb_wiki,double,K=5,,126.29725597798824
imdb_wiki,double,K=10,,127.42738425731659
imdb_wiki,double,K=25,,130.18481619656086
imdb_wiki,double,K=50,,132.58090987801552
imdb_wiki,double,K=100,,137.33894750475883
imdb_wiki,double,K=200,,135.23264229297638
imdb_wiki,double,K=500,,151.27420239150524
imdb_wiki,double,K=1000,,156.5866805613041
imdb_wiki,double_threaded,N=1000,,0.026285648345947266
imdb_wiki,double_threaded,N=2000,,0.04946067929267883
imdb_wiki,double_threaded,N=4000,,0.11421181261539459
imdb_wiki,double_threaded,N=8000,,0.4621613770723343
imdb_wiki,double_threaded,N=16000,,1.57913938164711
imdb_wiki,double_threaded,N=32000,,3.7451572716236115
imdb_wiki,double_threaded,N=64000,,7.276257500052452
imdb_wiki,double_threaded,N=128000,,13.58899287879467
imdb_wiki,double_threaded,N=256000,,24.24115501344204
imdb_wiki,double_threaded,N=512000,,45.18565908074379
imdb_wiki,double_threaded,K=1,,46.00320756435394
imdb_wiki,double_threaded,K=2,,44.62161101400852
imdb_wiki,double_threaded,K=5,,44.97510753571987
imdb_wiki,double_threaded,K=10,,46.428099274635315
imdb_wiki,double_threaded,K=25,,46.46702855825424
imdb_wiki,double_threaded,K=50,,47.28139564394951
imdb_wiki,double_threaded,K=100,,48.82611893117428
imdb_wiki,double_threaded,K=200,,50.37118121981621
imdb_wiki,double_threaded,K=500,,52.240997552871704
imdb_wiki,double_threaded,K=1000,,57.01052397489548
insta_1m,single,N=1000,,0.07470697164535522
insta_1m,single,N=2000,,0.10917894542217255
insta_1m,single,N=4000,,0.18173828721046448
insta_1m,single,N=8000,,0.3203563392162323
insta_1m,single,N=16000,,0.6278753280639648
insta_1m,single,N=32000,,1.3350117951631546
insta_1m,single,N=64000,,2.796085551381111
insta_1m,single,N=128000,,6.263218820095062
insta_1m,single,N=256000,,13.61004076898098
insta_1m,single,N=512000,,26.96867473423481
insta_1m,single,K=1,,49.75057579576969
insta_1m,single,K=2,,50.33335089683533
insta_1m,single,K=5,,55.988915264606476
