Mean search time: 1.92099 ms
Net number of dot products: 120628130
Query 0: naive time: 763.352 ms, recall: 1
Query 1: naive time: 767.167 ms, recall: 1
Query 2: naive time: 766.638 ms, recall: 1
Query 3: naive time: 761.559 ms, recall: 1
Query 4: naive time: 760.792 ms, recall: 1
Query 5: naive time: 760.715 ms, recall: 1
Query 6: naive time: 765.186 ms, recall: 1
Query 7: naive time: 765.47 ms, recall: 1
Query 8: naive time: 762.747 ms, recall: 1
Query 9: naive time: 758.919 ms, recall: 1
Query 10: naive time: 759.693 ms, recall: 1
Query 11: naive time: 758.443 ms, recall: 1
Query 12: naive time: 762.061 ms, recall: 1
Query 13: naive time: 766.04 ms, recall: 1
Query 14: naive time: 761.994 ms, recall: 1
Query 15: naive time: 768.114 ms, recall: 1
Query 16: naive time: 761.89 ms, recall: 1
Query 17: naive time: 766.912 ms, recall: 1
Query 18: naive time: 764.12 ms, recall: 1
Query 19: naive time: 762.995 ms, recall: 1
Query 20: naive time: 760.249 ms, recall: 1
Query 21: naive time: 760.663 ms, recall: 1
Query 22: naive time: 759.208 ms, recall: 1
Query 23: naive time: 766.299 ms, recall: 1
Query 24: naive time: 766.763 ms, recall: 1
Query 25: naive time: 760.432 ms, recall: 1
Query 26: naive time: 764.946 ms, recall: 1
Query 27: naive time: 766.766 ms, recall: 1
Query 28: naive time: 761.52 ms, recall: 1
Query 29: naive time: 770.569 ms, recall: 1
Query 30: naive time: 767.843 ms, recall: 1
Query 31: naive time: 764.84 ms, recall: 1
Query 32: naive time: 766.509 ms, recall: 1
Query 33: naive time: 766.25 ms, recall: 1
Query 34: naive time: 765.982 ms, recall: 1
Query 35: naive time: 765.375 ms, recall: 1
Query 36: naive time: 761.715 ms, recall: 1
Query 37: naive time: 759.935 ms, recall: 1
Query 38: naive time: 1200.82 ms, recall: 1
Query 39: naive time: 987.44 ms, recall: 1
Query 40: naive time: 964.06 ms, recall: 1
Query 41: naive time: 1321.12 ms, recall: 1
Query 42: naive time: 913.213 ms, recall: 1
Query 43: naive time: 904.414 ms, recall: 1
Query 44: naive time: 913.063 ms, recall: 1
Query 45: naive time: 1067.47 ms, recall: 1
Query 46: naive time: 883.732 ms, recall: 1
Query 47: naive time: 1174.87 ms, recall: 1
Query 48: naive time: 905.054 ms, recall: 1
Query 49: naive time: 906.934 ms, recall: 1
Query 50: naive time: 1018.11 ms, recall: 1
Query 51: naive time: 921.409 ms, recall: 1
Query 52: naive time: 930.433 ms, recall: 1
Query 53: naive time: 1141.03 ms, recall: 1
Query 54: naive time: 904.541 ms, recall: 1
Query 55: naive time: 1026.47 ms, recall: 1
Query 56: naive time: 1545.32 ms, recall: 1
Query 57: naive time: 1496.59 ms, recall: 1
Query 58: naive time: 1533.91 ms, recall: 1
Query 59: naive time: 1543.79 ms, recall: 1
Query 60: naive time: 1269.75 ms, recall: 1
Query 61: naive time: 1160.52 ms, recall: 1
Query 62: naive time: 1154.32 ms, recall: 1
Query 63: naive time: 1153.63 ms, recall: 1
Query 64: naive time: 1157.69 ms, recall: 1
Query 65: naive time: 1109.91 ms, recall: 1
Query 66: naive time: 968.241 ms, recall: 1
Query 67: naive time: 860.124 ms, recall: 1
Query 68: naive time: 856.114 ms, recall: 1
Query 69: naive time: 819.296 ms, recall: 1
Query 70: naive time: 782.111 ms, recall: 1
Query 71: naive time: 956.846 ms, recall: 1
Query 72: naive time: 1063.63 ms, recall: 1
Query 73: naive time: 820.174 ms, recall: 1
Query 74: naive time: 823.638 ms, recall: 1
Query 75: naive time: 923.118 ms, recall: 1
Query 76: naive time: 821.312 ms, recall: 1
Query 77: naive time: 824.085 ms, recall: 1
Query 78: naive time: 892.632 ms, recall: 1
Query 79: naive time: 1109.14 ms, recall: 1
Query 80: naive time: 901.974 ms, recall: 1
Query 81: naive time: 1082.45 ms, recall: 1
Query 82: naive time: 1561.89 ms, recall: 1
Query 83: naive time: 1495.62 ms, recall: 1
Query 84: naive time: 1539.34 ms, recall: 1
Query 85: naive time: 1486.31 ms, recall: 1
Query 86: naive time: 1235.23 ms, recall: 1
Query 87: naive time: 1216.75 ms, recall: 1
Query 88: naive time: 1220.7 ms, recall: 1
Query 89: naive time: 1209.21 ms, recall: 1
Query 90: naive time: 1111.16 ms, recall: 1
Query 91: naive time: 881.633 ms, recall: 1
Query 92: naive time: 892.448 ms, recall: 1
Query 93: naive time: 848.982 ms, recall: 1
Query 94: naive time: 867.098 ms, recall: 1
Query 95: naive time: 865.387 ms, recall: 1
Query 96: naive time: 853.224 ms, recall: 1
Query 97: naive time: 897.715 ms, recall: 1
Query 98: naive time: 995.217 ms, recall: 1
Query 99: naive time: 945.388 ms, recall: 1
Query 100: naive time: 1190.23 ms, recall: 1
Query 101: naive time: 903.863 ms, recall: 1
Query 102: naive time: 1020.21 ms, recall: 1
Query 103: naive time: 903.686 ms, recall: 1
Query 104: naive time: 893.058 ms, recall: 1
Query 105: naive time: 1033.43 ms, recall: 1
Query 106: naive time: 981.149 ms, recall: 1
Query 107: naive time: 891.439 ms, recall: 1
Query 108: naive time: 1448.7 ms, recall: 1
Query 109: naive time: 1690.89 ms, recall: 1
Query 110: naive time: 1603.09 ms, recall: 1
Query 111: naive time: 1516.35 ms, recall: 1
Query 112: naive time: 1136.2 ms, recall: 1
Query 113: naive time: 1114.55 ms, recall: 1
Query 114: naive time: 1096.36 ms, recall: 1
Query 115: naive time: 1106.5 ms, recall: 1
Query 116: naive time: 1065.56 ms, recall: 1
Query 117: naive time: 987.702 ms, recall: 1
