Mean search time: 15.4698 ms
Net number of dot products: 1693462608
Query 0: naive time: 318.197 ms, recall: 1
Query 1: naive time: 316.573 ms, recall: 1
Query 2: naive time: 319.013 ms, recall: 1
Query 3: naive time: 316.654 ms, recall: 1
Query 4: naive time: 320.6 ms, recall: 1
Query 5: naive time: 319.62 ms, recall: 1
Query 6: naive time: 320.163 ms, recall: 1
Query 7: naive time: 316.521 ms, recall: 1
Query 8: naive time: 321.528 ms, recall: 1
Query 9: naive time: 316.638 ms, recall: 1
Query 10: naive time: 321.13 ms, recall: 1
Query 11: naive time: 317.38 ms, recall: 1
Query 12: naive time: 317.533 ms, recall: 1
Query 13: naive time: 318.917 ms, recall: 1
Query 14: naive time: 325.228 ms, recall: 1
Query 15: naive time: 322.291 ms, recall: 1
Query 16: naive time: 333.722 ms, recall: 1
Query 17: naive time: 352.614 ms, recall: 1
Query 18: naive time: 346.909 ms, recall: 1
Query 19: naive time: 352.104 ms, recall: 1
Query 20: naive time: 349.568 ms, recall: 1
Query 21: naive time: 346.251 ms, recall: 1
Query 22: naive time: 345.305 ms, recall: 1
Query 23: naive time: 346.64 ms, recall: 1
Query 24: naive time: 346.246 ms, recall: 1
Query 25: naive time: 344.932 ms, recall: 1
Query 26: naive time: 346.91 ms, recall: 1
Query 27: naive time: 346.723 ms, recall: 1
Query 28: naive time: 348.358 ms, recall: 1
Query 29: naive time: 357.275 ms, recall: 1
Query 30: naive time: 346.287 ms, recall: 1
Query 31: naive time: 347.125 ms, recall: 1
Query 32: naive time: 349.871 ms, recall: 1
Query 33: naive time: 353.968 ms, recall: 1
Query 34: naive time: 348.09 ms, recall: 1
Query 35: naive time: 351.402 ms, recall: 1
Query 36: naive time: 347.221 ms, recall: 1
Query 37: naive time: 347.288 ms, recall: 1
Query 38: naive time: 347.788 ms, recall: 1
Query 39: naive time: 349.065 ms, recall: 1
Query 40: naive time: 348.179 ms, recall: 1
Query 41: naive time: 349.912 ms, recall: 1
Query 42: naive time: 348.191 ms, recall: 1
Query 43: naive time: 348.092 ms, recall: 1
Query 44: naive time: 348.444 ms, recall: 1
Query 45: naive time: 346.696 ms, recall: 1
Query 46: naive time: 348.318 ms, recall: 1
Query 47: naive time: 349.604 ms, recall: 1
Query 48: naive time: 347.271 ms, recall: 1
Query 49: naive time: 347.9 ms, recall: 1
Query 50: naive time: 348.797 ms, recall: 1
Query 51: naive time: 347.119 ms, recall: 1
Query 52: naive time: 363.224 ms, recall: 1
Query 53: naive time: 349.618 ms, recall: 1
Query 54: naive time: 352.856 ms, recall: 1
Query 55: naive time: 349.194 ms, recall: 1
Query 56: naive time: 349.725 ms, recall: 1
Query 57: naive time: 348.134 ms, recall: 1
Query 58: naive time: 349.006 ms, recall: 1
Query 59: naive time: 347.218 ms, recall: 1
Query 60: naive time: 349.932 ms, recall: 1
Query 61: naive time: 349.92 ms, recall: 1
Query 62: naive time: 360.779 ms, recall: 1
Query 63: naive time: 356.363 ms, recall: 1
Query 64: naive time: 356.186 ms, recall: 1
Query 65: naive time: 355.907 ms, recall: 1
Query 66: naive time: 348.451 ms, recall: 1
Query 67: naive time: 347.88 ms, recall: 1
Query 68: naive time: 346.259 ms, recall: 1
Query 69: naive time: 346.73 ms, recall: 1
Query 70: naive time: 348.077 ms, recall: 1
Query 71: naive time: 347.64 ms, recall: 1
Query 72: naive time: 350.632 ms, recall: 1
Query 73: naive time: 353.53 ms, recall: 1
Query 74: naive time: 350.714 ms, recall: 1
Query 75: naive time: 353.308 ms, recall: 1
Query 76: naive time: 355.535 ms, recall: 1
Query 77: naive time: 351.3 ms, recall: 1
Query 78: naive time: 349.776 ms, recall: 1
Query 79: naive time: 349.544 ms, recall: 1
Query 80: naive time: 350.366 ms, recall: 1
Query 81: naive time: 352.038 ms, recall: 1
Query 82: naive time: 348.764 ms, recall: 1
Query 83: naive time: 348.903 ms, recall: 1
Query 84: naive time: 347.62 ms, recall: 1
Query 85: naive time: 349.895 ms, recall: 1
Query 86: naive time: 347.147 ms, recall: 1
Query 87: naive time: 347.47 ms, recall: 1
Query 88: naive time: 349.579 ms, recall: 1
Query 89: naive time: 351.059 ms, recall: 1
Query 90: naive time: 353.44 ms, recall: 1
Query 91: naive time: 348.939 ms, recall: 1
Query 92: naive time: 351.005 ms, recall: 1
Query 93: naive time: 357.199 ms, recall: 1
Query 94: naive time: 350.347 ms, recall: 1
Query 95: naive time: 354.787 ms, recall: 1
Query 96: naive time: 352.924 ms, recall: 1
Query 97: naive time: 351.97 ms, recall: 1
Query 98: naive time: 353.72 ms, recall: 1
Query 99: naive time: 350.166 ms, recall: 1
Query 100: naive time: 337.41 ms, recall: 1
Query 101: naive time: 319.214 ms, recall: 1
Query 102: naive time: 330.82 ms, recall: 1
Query 103: naive time: 325.856 ms, recall: 1
Query 104: naive time: 348.543 ms, recall: 1
Query 105: naive time: 348.151 ms, recall: 1
Query 106: naive time: 368.047 ms, recall: 1
Query 107: naive time: 347.65 ms, recall: 1
Query 108: naive time: 346.193 ms, recall: 1
Query 109: naive time: 345.662 ms, recall: 1
Query 110: naive time: 346.096 ms, recall: 1
Query 111: naive time: 325.948 ms, recall: 1
Query 112: naive time: 313.9 ms, recall: 1
Query 113: naive time: 314.919 ms, recall: 1
Query 114: naive time: 315.046 ms, recall: 1
Query 115: naive time: 313.807 ms, recall: 1
Query 116: naive time: 314.314 ms, recall: 1
Query 117: naive time: 314.675 ms, recall: 1
Query 118: naive time: 313.762 ms, recall: 1
Query 119: naive time: 313.576 ms, recall: 1
Query 120: naive time: 313.995 ms, recall: 1
Query 121: naive time: 313.034 ms, recall: 1
Query 122: naive time: 313.699 ms, recall: 1
Query 123: naive time: 313.637 ms, recall: 1
Query 124: naive time: 317.981 ms, recall: 1
Query 125: naive time: 320.15 ms, recall: 1
Query 126: naive time: 313.692 ms, recall: 1
Query 127: naive time: 313.206 ms, recall: 1
Query 128: naive time: 313.155 ms, recall: 1
Query 129: naive time: 312.969 ms, recall: 1
Query 130: naive time: 313.225 ms, recall: 1
Query 131: naive time: 318.662 ms, recall: 1
Query 132: naive time: 314.073 ms, recall: 1
Query 133: naive time: 313.673 ms, recall: 1
Query 134: naive time: 314.287 ms, recall: 1
Query 135: naive time: 313.265 ms, recall: 1
Query 136: naive time: 314.514 ms, recall: 1
Query 137: naive time: 313.232 ms, recall: 1
Query 138: naive time: 313.498 ms, recall: 1
Query 139: naive time: 313.511 ms, recall: 1
Query 140: naive time: 313.666 ms, recall: 1
Query 141: naive time: 313.484 ms, recall: 1
Query 142: naive time: 313.747 ms, recall: 1
Query 143: naive time: 313.845 ms, recall: 1
Query 144: naive time: 313.552 ms, recall: 1
Query 145: naive time: 313.299 ms, recall: 1
Query 146: naive time: 313.899 ms, recall: 1
Query 147: naive time: 314.181 ms, recall: 1
Query 148: naive time: 313.429 ms, recall: 1
Query 149: naive time: 313.388 ms, recall: 1
Query 150: naive time: 312.941 ms, recall: 1
Query 151: naive time: 312.814 ms, recall: 1
Query 152: naive time: 312.992 ms, recall: 1
Query 153: naive time: 313.642 ms, recall: 1
Query 154: naive time: 313.127 ms, recall: 1
Query 155: naive time: 313.499 ms, recall: 1
Query 156: naive time: 314.337 ms, recall: 1
Query 157: naive time: 313.968 ms, recall: 1
Query 158: naive time: 313.148 ms, recall: 1
Query 159: naive time: 312.488 ms, recall: 1
Query 160: naive time: 313.514 ms, recall: 1
Query 161: naive time: 313.69 ms, recall: 1
Query 162: naive time: 313.484 ms, recall: 1
Query 163: naive time: 313.045 ms, recall: 1
Query 164: naive time: 313.413 ms, recall: 1
Query 165: naive time: 312.892 ms, recall: 1
Query 166: naive time: 312.779 ms, recall: 1
Query 167: naive time: 313.245 ms, recall: 1
Query 168: naive time: 312.692 ms, recall: 1
Query 169: naive time: 313.655 ms, recall: 1
Query 170: naive time: 313.411 ms, recall: 1
Query 171: naive time: 314.188 ms, recall: 1
Query 172: naive time: 313.845 ms, recall: 1
Query 173: naive time: 313.01 ms, recall: 1
Query 174: naive time: 312.842 ms, recall: 1
Query 175: naive time: 313.134 ms, recall: 1
Query 176: naive time: 313.225 ms, recall: 1
Query 177: naive time: 312.592 ms, recall: 1
Query 178: naive time: 313.428 ms, recall: 1
Query 179: naive time: 313.928 ms, recall: 1
Query 180: naive time: 313.419 ms, recall: 1
Query 181: naive time: 313.317 ms, recall: 1
Query 182: naive time: 313.675 ms, recall: 1
Query 183: naive time: 313.578 ms, recall: 1
Query 184: naive time: 312.628 ms, recall: 1
Query 185: naive time: 312.252 ms, recall: 1
Query 186: naive time: 313.31 ms, recall: 1
Query 187: naive time: 313.146 ms, recall: 1
Query 188: naive time: 312.973 ms, recall: 1
Query 189: naive time: 313.528 ms, recall: 1
Query 190: naive time: 313.597 ms, recall: 1
Query 191: naive time: 313.794 ms, recall: 1
Query 192: naive time: 313.621 ms, recall: 1
Query 193: naive time: 313.461 ms, recall: 1
Query 194: naive time: 313.728 ms, recall: 1
Query 195: naive time: 314.063 ms, recall: 1
Query 196: naive time: 313.561 ms, recall: 1
Query 197: naive time: 313.836 ms, recall: 1
Query 198: naive time: 312.757 ms, recall: 1
Query 199: naive time: 313.444 ms, recall: 1
Query 200: naive time: 313.308 ms, recall: 1
Query 201: naive time: 312.951 ms, recall: 1
Query 202: naive time: 314.054 ms, recall: 1
Query 203: naive time: 313.014 ms, recall: 1
Query 204: naive time: 313.148 ms, recall: 1
Query 205: naive time: 313.785 ms, recall: 1
Query 206: naive time: 313.349 ms, recall: 1
Query 207: naive time: 313.139 ms, recall: 1
Query 208: naive time: 314.412 ms, recall: 1
Query 209: naive time: 312.924 ms, recall: 1
Query 210: naive time: 313.948 ms, recall: 1
Query 211: naive time: 313.826 ms, recall: 1
Query 212: naive time: 313.153 ms, recall: 1
Query 213: naive time: 313.616 ms, recall: 1
Query 214: naive time: 313.585 ms, recall: 1
Query 215: naive time: 314.857 ms, recall: 1
Query 216: naive time: 315.659 ms, recall: 1
Query 217: naive time: 314.1 ms, recall: 1
Query 218: naive time: 314.207 ms, recall: 1
Query 219: naive time: 313.504 ms, recall: 1
Query 220: naive time: 313.524 ms, recall: 1
Query 221: naive time: 313.703 ms, recall: 1
Query 222: naive time: 313.535 ms, recall: 1
Query 223: naive time: 337.571 ms, recall: 1
Query 224: naive time: 315.713 ms, recall: 1
Query 225: naive time: 318.386 ms, recall: 1
Query 226: naive time: 315.704 ms, recall: 1
Query 227: naive time: 315.678 ms, recall: 1
Query 228: naive time: 314.021 ms, recall: 1
Query 229: naive time: 317.655 ms, recall: 1
Query 230: naive time: 315.958 ms, recall: 1
Query 231: naive time: 315.644 ms, recall: 1
Query 232: naive time: 316.633 ms, recall: 1
Query 233: naive time: 324.512 ms, recall: 1
Query 234: naive time: 325.792 ms, recall: 1
Query 235: naive time: 330.869 ms, recall: 1
Query 236: naive time: 331.664 ms, recall: 1
Query 237: naive time: 315.931 ms, recall: 1
Query 238: naive time: 324.201 ms, recall: 1
Query 239: naive time: 328.906 ms, recall: 1
Query 240: naive time: 324.959 ms, recall: 1
Query 241: naive time: 326.503 ms, recall: 1
Query 242: naive time: 332.777 ms, recall: 1
Query 243: naive time: 376.939 ms, recall: 1
Query 244: naive time: 379.725 ms, recall: 1
Query 245: naive time: 315.813 ms, recall: 1
Query 246: naive time: 314.798 ms, recall: 1
Query 247: naive time: 315.099 ms, recall: 1
Query 248: naive time: 317.711 ms, recall: 1
Query 249: naive time: 316.262 ms, recall: 1
Query 250: naive time: 323.88 ms, recall: 1
Query 251: naive time: 326.052 ms, recall: 1
Query 252: naive time: 326.611 ms, recall: 1
Query 253: naive time: 326.67 ms, recall: 1
Query 254: naive time: 326.197 ms, recall: 1
Query 255: naive time: 333.981 ms, recall: 1
Query 256: naive time: 390.362 ms, recall: 1
Query 257: naive time: 391.438 ms, recall: 1
Query 258: naive time: 391.004 ms, recall: 1
Query 259: naive time: 315.187 ms, recall: 1
Query 260: naive time: 314.156 ms, recall: 1
Query 261: naive time: 313.989 ms, recall: 1
Query 262: naive time: 315.18 ms, recall: 1
Query 263: naive time: 314.871 ms, recall: 1
Query 264: naive time: 314.877 ms, recall: 1
Query 265: naive time: 314.144 ms, recall: 1
Query 266: naive time: 329.066 ms, recall: 1
Query 267: naive time: 326.852 ms, recall: 1
Query 268: naive time: 326.722 ms, recall: 1
Query 269: naive time: 325.464 ms, recall: 1
Query 270: naive time: 326.27 ms, recall: 1
Query 271: naive time: 325.491 ms, recall: 1
Query 272: naive time: 335.885 ms, recall: 1
Query 273: naive time: 391.515 ms, recall: 1
Query 274: naive time: 390.914 ms, recall: 1
Query 275: naive time: 391.316 ms, recall: 1
Query 276: naive time: 391.622 ms, recall: 1
Query 277: naive time: 369.619 ms, recall: 1
Query 278: naive time: 314.012 ms, recall: 1
Query 279: naive time: 314.108 ms, recall: 1
Query 280: naive time: 314.679 ms, recall: 1
Query 281: naive time: 314.408 ms, recall: 1
Query 282: naive time: 314.542 ms, recall: 1
Query 283: naive time: 314.335 ms, recall: 1
Query 284: naive time: 314.319 ms, recall: 1
Query 285: naive time: 329.187 ms, recall: 1
Query 286: naive time: 326.387 ms, recall: 1
Query 287: naive time: 325.759 ms, recall: 1
Query 288: naive time: 325.934 ms, recall: 1
Query 289: naive time: 326.885 ms, recall: 1
Query 290: naive time: 325.875 ms, recall: 1
Query 291: naive time: 326.203 ms, recall: 1
Query 292: naive time: 330.546 ms, recall: 1
Query 293: naive time: 363.364 ms, recall: 1
Query 294: naive time: 390.567 ms, recall: 1
Query 295: naive time: 390.928 ms, recall: 1
Query 296: naive time: 390.568 ms, recall: 1
Query 297: naive time: 390.423 ms, recall: 1
Query 298: naive time: 389.995 ms, recall: 1
Query 299: naive time: 388.353 ms, recall: 1
Query 300: naive time: 313.961 ms, recall: 1
Query 301: naive time: 314.182 ms, recall: 1
Query 302: naive time: 314.18 ms, recall: 1
Query 303: naive time: 313.609 ms, recall: 1
Query 304: naive time: 313.56 ms, recall: 1
Query 305: naive time: 314.029 ms, recall: 1
Query 306: naive time: 314.642 ms, recall: 1
Query 307: naive time: 319.45 ms, recall: 1
Query 308: naive time: 326.709 ms, recall: 1
Query 309: naive time: 326.997 ms, recall: 1
Query 310: naive time: 326.658 ms, recall: 1
Query 311: naive time: 326.642 ms, recall: 1
Query 312: naive time: 326.073 ms, recall: 1
Query 313: naive time: 326.146 ms, recall: 1
Query 314: naive time: 326.928 ms, recall: 1
Query 315: naive time: 326.29 ms, recall: 1
Query 316: naive time: 330.779 ms, recall: 1
Query 317: naive time: 363.643 ms, recall: 1
Query 318: naive time: 391.057 ms, recall: 1
Query 319: naive time: 390.721 ms, recall: 1
Query 320: naive time: 391.343 ms, recall: 1
Query 321: naive time: 391.195 ms, recall: 1
Query 322: naive time: 390.382 ms, recall: 1
Query 323: naive time: 391.437 ms, recall: 1
Query 324: naive time: 390.737 ms, recall: 1
Query 325: naive time: 353.537 ms, recall: 1
Query 326: naive time: 314.759 ms, recall: 1
Query 327: naive time: 314.712 ms, recall: 1
Query 328: naive time: 313.957 ms, recall: 1
Query 329: naive time: 314.071 ms, recall: 1
Query 330: naive time: 314.682 ms, recall: 1
Query 331: naive time: 314.571 ms, recall: 1
Query 332: naive time: 314.167 ms, recall: 1
Query 333: naive time: 324.245 ms, recall: 1
Query 334: naive time: 326.706 ms, recall: 1
Query 335: naive time: 325.854 ms, recall: 1
Query 336: naive time: 326.27 ms, recall: 1
Query 337: naive time: 326.578 ms, recall: 1
Query 338: naive time: 325.338 ms, recall: 1
Query 339: naive time: 325.638 ms, recall: 1
Query 340: naive time: 326.432 ms, recall: 1
Query 341: naive time: 326.226 ms, recall: 1
Query 342: naive time: 326.074 ms, recall: 1
Query 343: naive time: 329.277 ms, recall: 1
Query 344: naive time: 347.432 ms, recall: 1
Query 345: naive time: 389.925 ms, recall: 1
Query 346: naive time: 392.445 ms, recall: 1
Query 347: naive time: 390.856 ms, recall: 1
Query 348: naive time: 389.214 ms, recall: 1
Query 349: naive time: 390.165 ms, recall: 1
Query 350: naive time: 390.577 ms, recall: 1
Query 351: naive time: 389.998 ms, recall: 1
Query 352: naive time: 391.399 ms, recall: 1
Query 353: naive time: 390.58 ms, recall: 1
Query 354: naive time: 342.604 ms, recall: 1
Query 355: naive time: 314.578 ms, recall: 1
