Mean search time: 5.04698 ms
Net number of dot products: 786070606
Query 0: naive time: 635.342 ms, recall: 1
Query 1: naive time: 616.551 ms, recall: 1
Query 2: naive time: 603.835 ms, recall: 1
Query 3: naive time: 607.174 ms, recall: 1
Query 4: naive time: 605.476 ms, recall: 1
Query 5: naive time: 611.198 ms, recall: 1
Query 6: naive time: 631 ms, recall: 1
Query 7: naive time: 626.249 ms, recall: 1
Query 8: naive time: 625.493 ms, recall: 1
Query 9: naive time: 603.116 ms, recall: 1
Query 10: naive time: 601.909 ms, recall: 1
Query 11: naive time: 603.339 ms, recall: 1
Query 12: naive time: 601.765 ms, recall: 1
Query 13: naive time: 601.575 ms, recall: 1
Query 14: naive time: 602.758 ms, recall: 1
Query 15: naive time: 601.6 ms, recall: 1
Query 16: naive time: 604.891 ms, recall: 1
Query 17: naive time: 603.153 ms, recall: 1
Query 18: naive time: 602.988 ms, recall: 1
Query 19: naive time: 602.624 ms, recall: 1
Query 20: naive time: 601.778 ms, recall: 1
Query 21: naive time: 600.905 ms, recall: 1
Query 22: naive time: 602.226 ms, recall: 1
Query 23: naive time: 602.01 ms, recall: 1
Query 24: naive time: 602.278 ms, recall: 1
Query 25: naive time: 603.263 ms, recall: 1
Query 26: naive time: 602.486 ms, recall: 1
Query 27: naive time: 602.701 ms, recall: 1
Query 28: naive time: 604.815 ms, recall: 1
Query 29: naive time: 602.854 ms, recall: 1
Query 30: naive time: 605.765 ms, recall: 1
Query 31: naive time: 603.72 ms, recall: 1
Query 32: naive time: 602.338 ms, recall: 1
Query 33: naive time: 603.066 ms, recall: 1
Query 34: naive time: 609.824 ms, recall: 1
Query 35: naive time: 603.406 ms, recall: 1
Query 36: naive time: 602.389 ms, recall: 1
Query 37: naive time: 605.477 ms, recall: 1
Query 38: naive time: 603.12 ms, recall: 1
Query 39: naive time: 601.682 ms, recall: 1
Query 40: naive time: 601.994 ms, recall: 1
Query 41: naive time: 606.093 ms, recall: 1
Query 42: naive time: 603.631 ms, recall: 1
Query 43: naive time: 603.826 ms, recall: 1
Query 44: naive time: 600.222 ms, recall: 1
Query 45: naive time: 603.074 ms, recall: 1
Query 46: naive time: 602.875 ms, recall: 1
Query 47: naive time: 603.029 ms, recall: 1
Query 48: naive time: 602.904 ms, recall: 1
Query 49: naive time: 602.98 ms, recall: 1
Query 50: naive time: 604.84 ms, recall: 1
Query 51: naive time: 603.875 ms, recall: 1
Query 52: naive time: 604.195 ms, recall: 1
Query 53: naive time: 603.066 ms, recall: 1
Query 54: naive time: 603.578 ms, recall: 1
Query 55: naive time: 603.557 ms, recall: 1
Query 56: naive time: 602.461 ms, recall: 1
Query 57: naive time: 601.408 ms, recall: 1
Query 58: naive time: 602.249 ms, recall: 1
Query 59: naive time: 604.761 ms, recall: 1
Query 60: naive time: 619.601 ms, recall: 1
Query 61: naive time: 602.443 ms, recall: 1
Query 62: naive time: 602.026 ms, recall: 1
Query 63: naive time: 601.688 ms, recall: 1
Query 64: naive time: 602.106 ms, recall: 1
Query 65: naive time: 602.011 ms, recall: 1
Query 66: naive time: 602.061 ms, recall: 1
