Dataset,Algorithm,N/K,Value,Time (ms)
imagenet,single,N=1000,,0.0960417091846466
imagenet,single,N=2000,,0.10601058602333069
imagenet,single,N=4000,,0.13761967420578003
imagenet,single,N=8000,,0.16568228602409363
imagenet,single,N=16000,,0.23958086967468262
imagenet,single,N=32000,,0.30905939638614655
imagenet,single,N=64000,,0.41798874735832214
imagenet,single,N=128000,,0.6807241588830948
imagenet,single,N=256000,,1.142159104347229
imagenet,single,N=512000,,2.494247630238533
imagenet,single,K=1,,5.124107003211975
imagenet,single,K=2,,5.280777812004089
imagenet,single,K=5,,5.759749561548233
imagenet,single,K=10,,6.071500480175018
imagenet,single,K=25,,7.70796462893486
imagenet,single,K=50,,13.597272336483002
imagenet,single,K=100,,32.50497952103615
imagenet,single,K=200,,99.044194445014
imagenet,single,K=500,,511.0951531678438
imagenet,single,K=1000,,2140.469627454877
imagenet,single_threaded,N=1000,,0.09477324783802032
imagenet,single_threaded,N=2000,,0.10313279926776886
imagenet,single_threaded,N=4000,,0.12622401118278503
imagenet,single_threaded,N=8000,,0.15767104923725128
imagenet,single_threaded,N=16000,,0.7951632142066956
imagenet,single_threaded,N=32000,,1.3984348624944687
imagenet,single_threaded,N=64000,,2.852899953722954
imagenet,single_threaded,N=128000,,4.688853397965431
imagenet,single_threaded,N=256000,,9.981896728277206
imagenet,single_threaded,N=512000,,19.40915174782276
imagenet,single_threaded,K=1,,10.021064430475235
imagenet,single_threaded,K=2,,15.29134251177311
imagenet,single_threaded,K=5,,27.89425291121006
imagenet,single_threaded,K=10,,44.845398515462875
imagenet,single_threaded,K=25,,85.48939041793346
imagenet,single_threaded,K=50,,138.62818479537964
imagenet,single_threaded,K=100,,218.021672219038
imagenet,single_threaded,K=200,,328.6811523139477
imagenet,single_threaded,K=500,,485.7899658381939
imagenet,single_threaded,K=1000,,560.5756025761366
imagenet,single_parallel,N=1000,,0.03283657133579254
imagenet,single_parallel,N=2000,,0.034615397453308105
imagenet,single_parallel,N=4000,,0.04875659942626953
imagenet,single_parallel,N=8000,,0.05904585123062134
imagenet,single_parallel,N=16000,,0.07374398410320282
imagenet,single_parallel,N=32000,,0.10634399950504303
imagenet,single_parallel,N=64000,,0.14043785631656647
imagenet,single_parallel,N=128000,,0.21118298172950745
imagenet,single_parallel,N=256000,,0.3821607679128647
imagenet,single_parallel,N=512000,,0.7939375936985016
imagenet,single_parallel,K=1,,1.8088463693857193
imagenet,single_parallel,K=2,,1.8947962671518326
imagenet,single_parallel,K=5,,1.908557489514351
imagenet,single_parallel,K=10,,1.9455719739198685
imagenet,single_parallel,K=25,,1.9220765680074692
imagenet,single_parallel,K=50,,2.538079395890236
imagenet,single_parallel,K=100,,4.42611426115036
imagenet,single_parallel,K=200,,10.677991434931755
imagenet,single_parallel,K=500,,39.596112444996834
imagenet,single_parallel,K=1000,,139.73871991038322
imagenet,double,N=1000,,0.07514841854572296
imagenet,double,N=2000,,0.0826958566904068
imagenet,double,N=4000,,0.1347903162240982
imagenet,double,N=8000,,0.20462088286876678
imagenet,double,N=16000,,0.35688839852809906
imagenet,double,N=32000,,0.5610641092061996
imagenet,double,N=64000,,0.9309891611337662
imagenet,double,N=128000,,1.4298036694526672
imagenet,double,N=256000,,2.238040789961815
imagenet,double,N=512000,,3.6539211869239807
imagenet,double,K=1,,6.354108452796936
imagenet,double,K=2,,6.78057037293911
imagenet,double,K=5,,6.8434420973062515
imagenet,double,K=10,,6.891379132866859
imagenet,double,K=25,,7.110541686415672
imagenet,double,K=50,,6.883196532726288
imagenet,double,K=100,,6.896961480379105
imagenet,double,K=200,,6.989665329456329
imagenet,double,K=500,,7.507063448429108
imagenet,double,K=1000,,7.5286440551280975
imagenet,double_threaded,N=1000,,0.05101040005683899
imagenet,double_threaded,N=2000,,0.05480647087097168
imagenet,double_threaded,N=4000,,0.07510371506214142
imagenet,double_threaded,N=8000,,0.09015947580337524
imagenet,double_threaded,N=16000,,0.15065446496009827
imagenet,double_threaded,N=32000,,0.2218428999185562
imagenet,double_threaded,N=64000,,0.29260292649269104
imagenet,double_threaded,N=128000,,0.39276666939258575
imagenet,double_threaded,N=256000,,0.7262788712978363
imagenet,double_threaded,N=512000,,1.1053252965211868
imagenet,double_threaded,K=1,,2.32674740254879
imagenet,double_threaded,K=2,,2.2474080324172974
imagenet,double_threaded,K=5,,2.186225727200508
imagenet,double_threaded,K=10,,2.2986382246017456
imagenet,double_threaded,K=25,,2.3529119789600372
imagenet,double_threaded,K=50,,2.5005973875522614
imagenet,double_threaded,K=100,,2.54167802631855
imagenet,double_threaded,K=200,,2.6234183460474014
imagenet,double_threaded,K=500,,2.4623963981866837
imagenet,double_threaded,K=1000,,2.679392695426941
imdb_wiki,single,N=1000,,0.20956434309482574
imdb_wiki,single,N=2000,,0.3471300005912781
imdb_wiki,single,N=4000,,0.6911549717187881
imdb_wiki,single,N=8000,,1.6056187450885773
imdb_wiki,single,N=16000,,3.375643864274025
imdb_wiki,single,N=32000,,6.931094452738762
imdb_wiki,single,N=64000,,13.907596468925476
imdb_wiki,single,N=128000,,28.106236830353737
imdb_wiki,single,N=256000,,57.859910652041435
imdb_wiki,single,N=512000,,115.81914871931076
imdb_wiki,single,K=1,,113.1505910307169
imdb_wiki,single,K=2,,113.55480179190636
imdb_wiki,single,K=5,,117.08374321460724
imdb_wiki,single,K=10,,113.79015073180199
imdb_wiki,single,K=25,,128.18732298910618
imdb_wiki,single,K=50,,129.19116392731667
imdb_wiki,single,K=100,,137.63883896172047
imdb_wiki,single,K=200,,189.70190361142159
imdb_wiki,single,K=500,,592.6239211112261
imdb_wiki,single,K=1000,,2258.165927603841
imdb_wiki,single_threaded,N=1000,,0.20174309611320496
imdb_wiki,single_threaded,N=2000,,0.3368258476257324
imdb_wiki,single_threaded,N=4000,,0.7301550358533859
imdb_wiki,single_threaded,N=8000,,1.592390239238739
imdb_wiki,single_threaded,N=16000,,2.2246502339839935
imdb_wiki,single_threaded,N=32000,,4.328444600105286
imdb_wiki,single_threaded,N=64000,,7.929101586341858
imdb_wiki,single_threaded,N=128000,,16.913574188947678
imdb_wiki,single_threaded,N=256000,,29.749058187007904
imdb_wiki,single_threaded,N=512000,,58.46811458468437
imdb_wiki,single_threaded,K=1,,42.439837008714676
imdb_wiki,single_threaded,K=2,,45.75840197503567
imdb_wiki,single_threaded,K=5,,52.10532806813717
imdb_wiki,single_threaded,K=10,,59.46504697203636
imdb_wiki,single_threaded,K=25,,74.53646324574947
imdb_wiki,single_threaded,K=50,,93.01936440169811
imdb_wiki,single_threaded,K=100,,118.09993721544743
imdb_wiki,single_threaded,K=200,,153.2262433320284
imdb_wiki,single_threaded,K=500,,214.61514756083488
imdb_wiki,single_threaded,K=1000,,262.77014426887035
imdb_wiki,single_parallel,N=1000,,0.04983134567737579
imdb_wiki,single_parallel,N=2000,,0.078592449426651
imdb_wiki,single_parallel,N=4000,,0.17597898840904236
imdb_wiki,single_parallel,N=8000,,0.5117896944284439
imdb_wiki,single_parallel,N=16000,,1.44110806286335
imdb_wiki,single_parallel,N=32000,,3.218589350581169
imdb_wiki,single_parallel,N=64000,,6.917659193277359
imdb_wiki,single_parallel,N=128000,,12.430993840098381
imdb_wiki,single_parallel,N=256000,,22.630590945482254
imdb_wiki,single_parallel,N=512000,,42.467717081308365
imdb_wiki,single_parallel,K=1,,41.88105650246143
imdb_wiki,single_parallel,K=2,,40.86330346763134
imdb_wiki,single_parallel,K=5,,41.05835407972336
imdb_wiki,single_parallel,K=10,,42.31672361493111
imdb_wiki,single_parallel,K=25,,43.8704639673233
imdb_wiki,single_parallel,K=50,,45.965131372213364
imdb_wiki,single_parallel,K=100,,45.06768845021725
imdb_wiki,single_parallel,K=200,,47.86297306418419
imdb_wiki,single_parallel,K=500,,65.0127362459898
imdb_wiki,single_parallel,K=1000,,158.05374272167683
imdb_wiki,double,N=1000,,0.2152528613805771
imdb_wiki,double,N=2000,,0.4013199359178543
imdb_wiki,double,N=4000,,0.868307426571846
imdb_wiki,double,N=8000,,1.9570104777812958
imdb_wiki,double,N=16000,,4.743559285998344
imdb_wiki,double,N=32000,,10.109975934028625
imdb_wiki,double,N=64000,,20.638370886445045
imdb_wiki,double,N=128000,,40.29935598373413
imdb_wiki,double,N=256000,,77.29701139032841
imdb_wiki,double,N=512000,,147.17326685786247
imdb_wiki,double,K=1,,134.36144217848778
imdb_wiki,double,K=2,,139.60094936192036
imdb_wiki,double,K=5,,139.92109335958958
imdb_wiki,double,K=10,,155.4252691566944
imdb_wiki,double,K=25,,163.06467726826668
imdb_wiki,double,K=50,,160.41230969130993
imdb_wiki,double,K=100,,166.52344912290573
imdb_wiki,double,K=200,,174.12007600069046
imdb_wiki,double,K=500,,189.16025757789612
imdb_wiki,double,K=1000,,197.19508290290833
imdb_wiki,double_threaded,N=1000,,0.09818747639656067
imdb_wiki,double_threaded,N=2000,,0.16849860548973083
imdb_wiki,double_threaded,N=4000,,0.2770945429801941
imdb_wiki,double_threaded,N=8000,,0.6052646785974503
imdb_wiki,double_threaded,N=16000,,1.447496935725212
imdb_wiki,double_threaded,N=32000,,3.399234265089035
imdb_wiki,double_threaded,N=64000,,7.361030206084251
imdb_wiki,double_threaded,N=128000,,14.81124758720398
imdb_wiki,double_threaded,N=256000,,29.480086639523506
imdb_wiki,double_threaded,N=512000,,57.33531713485718
imdb_wiki,double_threaded,K=1,,54.242486134171486
imdb_wiki,double_threaded,K=2,,54.1470181196928
imdb_wiki,double_threaded,K=5,,55.95330148935318
imdb_wiki,double_threaded,K=10,,53.43543738126755
imdb_wiki,double_threaded,K=25,,52.50133015215397
imdb_wiki,double_threaded,K=50,,62.25376017391682
imdb_wiki,double_threaded,K=100,,61.59551441669464
imdb_wiki,double_threaded,K=200,,62.495190650224686
imdb_wiki,double_threaded,K=500,,65.95212407410145
imdb_wiki,double_threaded,K=1000,,76.72728225588799
insta_1m,single,N=1000,,0.11968240141868591
insta_1m,single,N=2000,,0.1518893986940384
insta_1m,single,N=4000,,0.23240037262439728
insta_1m,single,N=8000,,0.40617212653160095
insta_1m,single,N=16000,,0.8113589137792587
insta_1m,single,N=32000,,1.704169437289238
insta_1m,single,N=64000,,3.5259537398815155
insta_1m,single,N=128000,,7.29336217045784
insta_1m,single,N=256000,,16.91833883523941
insta_1m,single,N=512000,,29.618022963404655
insta_1m,single,K=1,,61.948008835315704
insta_1m,single,K=2,,62.91933171451092
insta_1m,single,K=5,,64.44171629846096
insta_1m,single,K=10,,58.48816595971584
insta_1m,single,K=25,,60.773659497499466
insta_1m,single,K=50,,65.08697755634785
insta_1m,single,K=100,,75.38540847599506
insta_1m,single,K=200,,123.29966016113758
insta_1m,single,K=500,,523.7745363265276
insta_1m,single,K=1000,,2210.532611235976
insta_1m,single_threaded,N=1000,,0.11249817907810211
insta_1m,single_threaded,N=2000,,0.14824233949184418
insta_1m,single_threaded,N=4000,,0.2282503992319107
insta_1m,single_threaded,N=8000,,0.4136785864830017
insta_1m,single_threaded,N=16000,,0.9591151028871536
insta_1m,single_threaded,N=32000,,1.9162073731422424
insta_1m,single_threaded,N=64000,,3.6306940019130707
insta_1m,single_threaded,N=128000,,7.026946172118187
insta_1m,single_threaded,N=256000,,15.171950682997704
insta_1m,single_threaded,N=512000,,27.556784451007843
insta_1m,single_threaded,K=1,,25.867508724331856
insta_1m,single_threaded,K=2,,29.736442491412163
insta_1m,single_threaded,K=5,,39.39926065504551
insta_1m,single_threaded,K=10,,52.41072736680508
insta_1m,single_threaded,K=25,,84.12007614970207
insta_1m,single_threaded,K=50,,121.73623777925968
insta_1m,single_threaded,K=100,,182.11466073989868
insta_1m,single_threaded,K=200,,260.45423559844494
insta_1m,single_threaded,K=500,,390.5064221471548
insta_1m,single_threaded,K=1000,,450.063643977046
insta_1m,single_parallel,N=1000,,0.029385089874267578
insta_1m,single_parallel,N=2000,,0.04110671579837799
insta_1m,single_parallel,N=4000,,0.06807222962379456
insta_1m,single_parallel,N=8000,,0.10520964860916138
insta_1m,single_parallel,N=16000,,0.20727328956127167
insta_1m,single_parallel,N=32000,,0.6172638386487961
insta_1m,single_parallel,N=64000,,1.5144292265176773
insta_1m,single_parallel,N=128000,,3.550425171852112
insta_1m,single_parallel,N=256000,,7.206270471215248
insta_1m,single_parallel,N=512000,,12.375839054584503
insta_1m,single_parallel,K=1,,22.10712619125843
insta_1m,single_parallel,K=2,,22.16794341802597
insta_1m,single_parallel,K=5,,22.733058780431747
insta_1m,single_parallel,K=10,,22.208167240023613
insta_1m,single_parallel,K=25,,23.04297499358654
insta_1m,single_parallel,K=50,,24.48299527168274
insta_1m,single_parallel,K=100,,24.94123950600624
insta_1m,single_parallel,K=200,,27.57587656378746
insta_1m,single_parallel,K=500,,44.13953237235546
insta_1m,single_parallel,K=1000,,152.55754254758358
insta_1m,double,N=1000,,0.09218975901603699
insta_1m,double,N=2000,,0.1493990421295166
insta_1m,double,N=4000,,0.24431943893432617
insta_1m,double,N=8000,,0.47524645924568176
insta_1m,double,N=16000,,1.0212082415819168
insta_1m,double,N=32000,,2.4650059640407562
insta_1m,double,N=64000,,4.926696419715881
insta_1m,double,N=128000,,10.542742908000946
insta_1m,double,N=256000,,20.877327769994736
insta_1m,double,N=512000,,36.81864216923714
insta_1m,double,K=1,,64.39943797886372
insta_1m,double,K=2,,65.63233770430088
insta_1m,double,K=5,,60.77237240970135
insta_1m,double,K=10,,62.088605016469955
insta_1m,double,K=25,,69.43240948021412
insta_1m,double,K=50,,72.42267951369286
insta_1m,double,K=100,,77.4238333106041
insta_1m,double,K=200,,80.27472347021103
insta_1m,double,K=500,,89.33154493570328
insta_1m,double,K=1000,,105.29845021665096
insta_1m,double_threaded,N=1000,,0.04414282739162445
insta_1m,double_threaded,N=2000,,0.06649456918239594
insta_1m,double_threaded,N=4000,,0.10352209210395813
insta_1m,double_threaded,N=8000,,0.17434358596801758
insta_1m,double_threaded,N=16000,,0.3404393792152405
insta_1m,double_threaded,N=32000,,0.6894059479236603
insta_1m,double_threaded,N=64000,,1.549815759062767
insta_1m,double_threaded,N=128000,,3.436824306845665
insta_1m,double_threaded,N=256000,,6.781980395317078
insta_1m,double_threaded,N=512000,,11.93896122276783
insta_1m,double_threaded,K=1,,22.313127294182777
insta_1m,double_threaded,K=2,,22.981684654951096
insta_1m,double_threaded,K=5,,23.947959765791893
insta_1m,double_threaded,K=10,,23.82594160735607
insta_1m,double_threaded,K=25,,26.55421756207943
insta_1m,double_threaded,K=50,,25.863250717520714
insta_1m,double_threaded,K=100,,27.060771360993385
insta_1m,double_threaded,K=200,,28.288602828979492
insta_1m,double_threaded,K=500,,30.529264360666275
insta_1m,double_threaded,K=1000,,33.20535458624363
mirflickr,single,N=1000,,0.11009350419044495
mirflickr,single,N=2000,,0.13789907097816467
mirflickr,single,N=4000,,0.1891050487756729
mirflickr,single,N=8000,,0.2971254289150238
mirflickr,single,N=16000,,0.5267374217510223
mirflickr,single,N=32000,,1.2074429541826248
mirflickr,single,N=64000,,2.606915310025215
mirflickr,single,N=128000,,5.116673186421394
mirflickr,single,N=256000,,10.787732899188995
mirflickr,single,N=512000,,21.967489272356033
mirflickr,single,K=1,,40.58677330613136
mirflickr,single,K=2,,42.53621958196163
mirflickr,single,K=5,,39.17711414396763
mirflickr,single,K=10,,39.83914479613304
mirflickr,single,K=25,,41.60744696855545
mirflickr,single,K=50,,44.317733496427536
mirflickr,single,K=100,,55.31492456793785
mirflickr,single,K=200,,102.94749401509762
mirflickr,single,K=500,,505.38058020174503
mirflickr,single,K=1000,,2194.003591313958
mirflickr,single_threaded,N=1000,,0.10193698108196259
mirflickr,single_threaded,N=2000,,0.13003870844841003
mirflickr,single_threaded,N=4000,,0.18384680151939392
mirflickr,single_threaded,N=8000,,0.29888562858104706
mirflickr,single_threaded,N=16000,,0.8568447083234787
mirflickr,single_threaded,N=32000,,1.697499305009842
mirflickr,single_threaded,N=64000,,3.261374309659004
mirflickr,single_threaded,N=128000,,5.798930302262306
mirflickr,single_threaded,N=256000,,12.696793302893639
mirflickr,single_threaded,N=512000,,23.317081853747368
mirflickr,single_threaded,K=1,,19.03793215751648
mirflickr,single_threaded,K=2,,22.474320605397224
mirflickr,single_threaded,K=5,,31.363854184746742
mirflickr,single_threaded,K=10,,44.44290138781071
mirflickr,single_threaded,K=25,,76.3129685074091
mirflickr,single_threaded,K=50,,115.92740938067436
mirflickr,single_threaded,K=100,,174.6625266969204
mirflickr,single_threaded,K=200,,254.98658418655396
mirflickr,single_threaded,K=500,,383.5617322474718
mirflickr,single_threaded,K=1000,,455.4405193775892
mirflickr,single_parallel,N=1000,,0.02357177436351776
mirflickr,single_parallel,N=2000,,0.03290548920631409
mirflickr,single_parallel,N=4000,,0.04458613693714142
mirflickr,single_parallel,N=8000,,0.07842853665351868
mirflickr,single_parallel,N=16000,,0.11722743511199951
mirflickr,single_parallel,N=32000,,0.3099720925092697
mirflickr,single_parallel,N=64000,,0.9188558906316757
mirflickr,single_parallel,N=128000,,2.193750813603401
mirflickr,single_parallel,N=256000,,4.901887848973274
mirflickr,single_parallel,N=512000,,9.40462201833725
mirflickr,single_parallel,K=1,,15.76591283082962
mirflickr,single_parallel,K=2,,15.705520287156105
mirflickr,single_parallel,K=5,,16.517911106348038
mirflickr,single_parallel,K=10,,16.308210790157318
mirflickr,single_parallel,K=25,,16.733864322304726
mirflickr,single_parallel,K=50,,16.87830127775669
mirflickr,single_parallel,K=100,,17.264435067772865
mirflickr,single_parallel,K=200,,18.155930563807487
mirflickr,single_parallel,K=500,,39.34142924845219
mirflickr,single_parallel,K=1000,,147.90217950940132
mirflickr,double,N=1000,,0.0738147646188736
mirflickr,double,N=2000,,0.11235661804676056
mirflickr,double,N=4000,,0.1797173172235489
mirflickr,double,N=8000,,0.3158990293741226
mirflickr,double,N=16000,,0.631481409072876
mirflickr,double,N=32000,,1.3972017914056778
mirflickr,double,N=64000,,2.9673967510461807
mirflickr,double,N=128000,,6.193319335579872
mirflickr,double,N=256000,,13.08073103427887
mirflickr,double,N=512000,,25.14740265905857
mirflickr,double,K=1,,42.28302650153637
mirflickr,double,K=2,,42.84364357590675
mirflickr,double,K=5,,40.4258668422699
mirflickr,double,K=10,,41.47151671350002
mirflickr,double,K=25,,44.173648580908775
mirflickr,double,K=50,,44.62151974439621
mirflickr,double,K=100,,46.1768452078104
mirflickr,double,K=200,,51.132095977663994
mirflickr,double,K=500,,56.59813620150089
mirflickr,double,K=1000,,64.8618396371603
mirflickr,double_threaded,N=1000,,0.03825873136520386
mirflickr,double_threaded,N=2000,,0.05187094211578369
mirflickr,double_threaded,N=4000,,0.08631125092506409
mirflickr,double_threaded,N=8000,,0.14872662723064423
mirflickr,double_threaded,N=16000,,0.239470973610878
mirflickr,double_threaded,N=32000,,0.4288181662559509
mirflickr,double_threaded,N=64000,,0.9052176028490067
mirflickr,double_threaded,N=128000,,1.9976124167442322
mirflickr,double_threaded,N=256000,,4.285819828510284
mirflickr,double_threaded,N=512000,,8.279344066977501
mirflickr,double_threaded,K=1,,15.206459909677505
mirflickr,double_threaded,K=2,,15.083072707057
mirflickr,double_threaded,K=5,,16.36505499482155
mirflickr,double_threaded,K=10,,16.247985884547234
mirflickr,double_threaded,K=25,,17.19311624765396
mirflickr,double_threaded,K=50,,17.411984503269196
mirflickr,double_threaded,K=100,,18.82460154592991
mirflickr,double_threaded,K=200,,19.25966516137123
mirflickr,double_threaded,K=500,,21.042276173830032
mirflickr,double_threaded,K=1000,,24.177031591534615
