Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,max memory used,Threading
imagenet,1,KNNS Binary (Threaded),300000,1000,Build,5.0764,0.0,478.15084,1.0,1.0,2091.3902,0.4057,True
imagenet,1,KNNS Binary (Serial),300000,1000,Build,4.9698,0.0,1430.64952,1.0,1.0,698.9832,0.4003,False
imagenet,1,KNNS Double (Threaded),300000,1000,Build,5.8074,0.0,639.26578,1.0,1.0,1564.2946,0.4003,True
imagenet,1,KNNS Double (Serial),300000,1000,Build,5.8168,0.0,2738.70158,1.0,1.0,365.1365,0.4003,False
imagenet,1,Linscan (budget: 1),300000,1000,Build,395.1011,0.0,861.22942,0.6217,0.6217,1161.1308,9155.2787,True
imagenet,1,Linscan (budget: 4),300000,1000,Build,376.899,0.0,891.14523,0.7291,0.7291,1122.1515,9155.277,True
imagenet,1,Linscan (budget: 6),300000,1000,Build,377.017,0.0,922.60313,0.7835,0.7835,1083.8897,9155.277,True
imagenet,1,Linscan (budget: 10),300000,1000,Build,370.0436,0.0,991.04738,0.8681,0.8681,1009.0335,9155.277,True
imagenet,1,Linscan (base),300000,1000,Build,372.8667,0.0,60376.50323,0.9785,0.9785,16.5627,9155.277,True
imagenet,1,Cufe (budget: 1),300000,1000,Build,323.3882,0.0,894.71269,0.6579,0.6579,1117.6772,9155.2775,True
imagenet,1,Cufe (budget: 4),300000,1000,Build,319.0233,0.0,925.04048,0.8009,0.8009,1081.0338,9155.277,True
imagenet,1,Cufe (budget: 6),300000,1000,Build,317.6266,0.0,954.23603,0.8315,0.8315,1047.9588,9155.277,True
imagenet,1,Cufe (budget: 10),300000,1000,Build,316.4081,0.0,1024.03069,0.8613,0.8613,976.5332,9155.277,True
imagenet,1,Cufe (base),300000,1000,Build,317.5156,0.0,30940.11402,0.919,0.919,32.3205,9155.277,True
imagenet,1,SHNSW (ef_search: 40),300000,1000,Build,168.667,0.0,105.74222,0.9218,0.9218,9456.9609,9155.2828,True
