,Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,peak_mb,avg_mb,start_mb,end_mb,growth_mb,Threading
0,imagenet,1,KNNS Binary (Threaded),1281151,1000,Build,20.8938,0.0,1073.55547,1.0,1.0,931.4842,39545.3,15133.99,10127.5,39545.43,29417.8,True
1,imagenet,1,KNNS Binary (Serial),1281151,1000,Build,20.8365,0.0,4527.17781,1.0,1.0,220.8882,69022.07,44611.69,39608.59,69022.07,29413.48,False
2,imagenet,1,KNNS Double (Threaded),1281151,1000,Build,12.4728,0.0,1451.58124,1.0,1.0,688.9039,78942.58,60282.1,59208.53,78942.58,19734.05,True
3,imagenet,1,KNNS Double (Serial),1281151,1000,Build,8.2271,0.0,6973.92416,1.0,1.0,143.3913,78942.58,69674.24,69129.04,78942.58,9813.54,False
4,imagenet,1,KNNS Reordered Binary (Threaded),1281151,1000,Build,4.1026,0.0,1003.02958,1.0,1.0,996.9796,78957.24,78906.38,78903.45,78957.24,53.79,True
5,imagenet,1,KNNS Reordered Binary (Serial),1281151,1000,Build,4.1188,0.0,4262.71367,1.0,1.0,234.5923,78962.15,78957.51,78957.24,78962.15,4.91,False
6,imagenet,1,KNNS Reordered Double (Threaded),1281151,1000,Build,5.514,0.0,1315.27948,1.0,1.0,760.2947,78975.61,78962.64,78962.15,78975.61,13.46,True
7,imagenet,1,KNNS Reordered Double (Serial),1281151,1000,Build,4.1094,0.0,6157.01008,1.0,1.0,162.4165,78975.61,78975.61,78975.61,78975.61,0.0,False
8,imagenet,1,Linscan (budget: 1),1281151,1000,Build,347.538,0.0,500.46349,0.0518,0.0518,1998.1478,98524.62,89294.72,78975.61,79114.57,19549.01,True
9,imagenet,1,Linscan (budget: 10),1281151,1000,Build,332.7383,0.0,1132.58529,0.7084,0.7084,882.9357,79175.92,79114.58,79114.57,79175.92,61.35,True
10,imagenet,1,Linscan (budget: 100),1281151,1000,Build,336.038,0.0,6741.20975,0.9148,0.9148,148.3413,79013.62,73571.4,59464.81,59519.27,19548.82,True
11,imagenet,1,Linscan (budget: 1000),1281151,1000,Build,338.3147,0.0,63460.61182,0.9276,0.9276,15.7578,74137.05,68692.81,54588.24,54647.25,19548.82,True
12,imagenet,1,Linscan (base),1281151,1000,Build,336.2857,0.0,306224.97439,0.928,0.928,3.2656,83657.06,65018.79,54333.84,54387.29,29323.23,True
13,imagenet,1,Cufe (budget: 1),1281151,1000,Build,347.2956,0.0,377.01321,0.0316,0.0316,2652.427,83653.58,65169.16,54330.29,54466.42,29323.29,True
14,imagenet,1,Cufe (budget: 10),1281151,1000,Build,346.8475,0.0,946.26641,0.5914,0.5914,1056.7848,83701.19,65208.71,54377.96,54430.44,29323.23,True
