Mean search time: 7.40213 ms
Net number of dot products: 1137251737
Query 0: naive time: 664.256 ms, recall: 1
Query 1: naive time: 660.576 ms, recall: 1
Query 2: naive time: 604.436 ms, recall: 1
Query 3: naive time: 604.46 ms, recall: 1
Query 4: naive time: 605.57 ms, recall: 1
Query 5: naive time: 604.62 ms, recall: 1
Query 6: naive time: 604.495 ms, recall: 1
Query 7: naive time: 604.077 ms, recall: 1
Query 8: naive time: 606.051 ms, recall: 1
Query 9: naive time: 605.085 ms, recall: 1
Query 10: naive time: 606.608 ms, recall: 1
Query 11: naive time: 605.148 ms, recall: 1
Query 12: naive time: 605.157 ms, recall: 1
Query 13: naive time: 605.355 ms, recall: 1
Query 14: naive time: 604.834 ms, recall: 1
Query 15: naive time: 604.079 ms, recall: 1
Query 16: naive time: 605.631 ms, recall: 1
Query 17: naive time: 603.468 ms, recall: 1
Query 18: naive time: 603.677 ms, recall: 1
Query 19: naive time: 605.93 ms, recall: 1
Query 20: naive time: 603.603 ms, recall: 1
Query 21: naive time: 603.628 ms, recall: 1
Query 22: naive time: 606.067 ms, recall: 1
Query 23: naive time: 605.565 ms, recall: 1
Query 24: naive time: 604.69 ms, recall: 1
Query 25: naive time: 603.508 ms, recall: 1
Query 26: naive time: 602.151 ms, recall: 1
Query 27: naive time: 604.945 ms, recall: 1
Query 28: naive time: 603.809 ms, recall: 1
Query 29: naive time: 604.339 ms, recall: 1
Query 30: naive time: 604.072 ms, recall: 1
Query 31: naive time: 603.519 ms, recall: 1
Query 32: naive time: 603.806 ms, recall: 1
Query 33: naive time: 605.058 ms, recall: 1
Query 34: naive time: 603.453 ms, recall: 1
Query 35: naive time: 604.553 ms, recall: 1
Query 36: naive time: 603.815 ms, recall: 1
Query 37: naive time: 603.296 ms, recall: 1
Query 38: naive time: 605.171 ms, recall: 1
Query 39: naive time: 605.973 ms, recall: 1
Query 40: naive time: 603.916 ms, recall: 1
Query 41: naive time: 603.848 ms, recall: 1
Query 42: naive time: 602.469 ms, recall: 1
Query 43: naive time: 607.131 ms, recall: 1
Query 44: naive time: 603.221 ms, recall: 1
Query 45: naive time: 603.242 ms, recall: 1
Query 46: naive time: 604.691 ms, recall: 1
Query 47: naive time: 603.349 ms, recall: 1
Query 48: naive time: 602.868 ms, recall: 1
Query 49: naive time: 604.463 ms, recall: 1
Query 50: naive time: 604.088 ms, recall: 1
Query 51: naive time: 604.812 ms, recall: 1
Query 52: naive time: 605.856 ms, recall: 1
Query 53: naive time: 603.491 ms, recall: 1
Query 54: naive time: 603.891 ms, recall: 1
Query 55: naive time: 603.416 ms, recall: 1
Query 56: naive time: 604.007 ms, recall: 1
Query 57: naive time: 605.029 ms, recall: 1
Query 58: naive time: 603.977 ms, recall: 1
Query 59: naive time: 604.667 ms, recall: 1
Query 60: naive time: 602.519 ms, recall: 1
Query 61: naive time: 604.567 ms, recall: 1
Query 62: naive time: 604.159 ms, recall: 1
Query 63: naive time: 602.615 ms, recall: 1
Query 64: naive time: 603.662 ms, recall: 1
Query 65: naive time: 605.144 ms, recall: 1
Query 66: naive time: 604.542 ms, recall: 1
Query 67: naive time: 603.829 ms, recall: 1
Query 68: naive time: 605.431 ms, recall: 1
Query 69: naive time: 603.771 ms, recall: 1
Query 70: naive time: 607.187 ms, recall: 1
Query 71: naive time: 603.223 ms, recall: 1
Query 72: naive time: 602.611 ms, recall: 1
Query 73: naive time: 605.79 ms, recall: 1
Query 74: naive time: 604.27 ms, recall: 1
Query 75: naive time: 603.336 ms, recall: 1
Query 76: naive time: 604.863 ms, recall: 1
Query 77: naive time: 603.108 ms, recall: 1
Query 78: naive time: 603.504 ms, recall: 1
Query 79: naive time: 604.971 ms, recall: 1
Query 80: naive time: 603.656 ms, recall: 1
Query 81: naive time: 601.805 ms, recall: 1
Query 82: naive time: 604.988 ms, recall: 1
Query 83: naive time: 603.19 ms, recall: 1
Query 84: naive time: 603.967 ms, recall: 1
Query 85: naive time: 604.717 ms, recall: 1
Query 86: naive time: 605.416 ms, recall: 1
Query 87: naive time: 606.884 ms, recall: 1
Query 88: naive time: 602.986 ms, recall: 1
Query 89: naive time: 606 ms, recall: 1
Query 90: naive time: 603.707 ms, recall: 1
Query 91: naive time: 602.039 ms, recall: 1
Query 92: naive time: 604.384 ms, recall: 1
Query 93: naive time: 603.381 ms, recall: 1
Query 94: naive time: 602.308 ms, recall: 1
Query 95: naive time: 604.051 ms, recall: 1
Query 96: naive time: 604.318 ms, recall: 1
Query 97: naive time: 602.83 ms, recall: 1
Query 98: naive time: 606.027 ms, recall: 1
Query 99: naive time: 605.292 ms, recall: 1
Query 100: naive time: 605.206 ms, recall: 1
Query 101: naive time: 604.744 ms, recall: 1
Query 102: naive time: 603.402 ms, recall: 1
Query 103: naive time: 605.19 ms, recall: 1
Query 104: naive time: 604.972 ms, recall: 1
Query 105: naive time: 603.529 ms, recall: 1
Query 106: naive time: 605.328 ms, recall: 1
Query 107: naive time: 604.404 ms, recall: 1
Query 108: naive time: 603.36 ms, recall: 1
Query 109: naive time: 604.685 ms, recall: 1
Query 110: naive time: 602.626 ms, recall: 1
Query 111: naive time: 603.696 ms, recall: 1
Query 112: naive time: 605.4 ms, recall: 1
Query 113: naive time: 602.951 ms, recall: 1
Query 114: naive time: 604.713 ms, recall: 1
Query 115: naive time: 604.718 ms, recall: 1
Query 116: naive time: 604.069 ms, recall: 1
Query 117: naive time: 606.13 ms, recall: 1
Query 118: naive time: 602.281 ms, recall: 1
Query 119: naive time: 601.671 ms, recall: 1
Query 120: naive time: 603.749 ms, recall: 1
Query 121: naive time: 607.259 ms, recall: 1
Query 122: naive time: 604.172 ms, recall: 1
Query 123: naive time: 604.954 ms, recall: 1
Query 124: naive time: 602.873 ms, recall: 1
Query 125: naive time: 604.877 ms, recall: 1
Query 126: naive time: 603.265 ms, recall: 1
Query 127: naive time: 603.422 ms, recall: 1
Query 128: naive time: 604.466 ms, recall: 1
Query 129: naive time: 603.285 ms, recall: 1
Query 130: naive time: 605.421 ms, recall: 1
Query 131: naive time: 604.6 ms, recall: 1
Query 132: naive time: 604.948 ms, recall: 1
Query 133: naive time: 605.33 ms, recall: 1
Query 134: naive time: 603.192 ms, recall: 1
Query 135: naive time: 603.844 ms, recall: 1
Query 136: naive time: 604.185 ms, recall: 1
Query 137: naive time: 602.041 ms, recall: 1
Query 138: naive time: 603.816 ms, recall: 1
Query 139: naive time: 606.274 ms, recall: 1
Query 140: naive time: 602.657 ms, recall: 1
Query 141: naive time: 603.158 ms, recall: 1
Query 142: naive time: 603.362 ms, recall: 1
Query 143: naive time: 603.049 ms, recall: 1
Query 144: naive time: 604.181 ms, recall: 1
Query 145: naive time: 604.09 ms, recall: 1
Query 146: naive time: 604.629 ms, recall: 1
Query 147: naive time: 604.989 ms, recall: 1
Query 148: naive time: 604.693 ms, recall: 1
Query 149: naive time: 603.565 ms, recall: 1
Query 150: naive time: 604.564 ms, recall: 1
Query 151: naive time: 603.048 ms, recall: 1
Query 152: naive time: 604.727 ms, recall: 1
Query 153: naive time: 604.673 ms, recall: 1
Query 154: naive time: 604.72 ms, recall: 1
Query 155: naive time: 604.223 ms, recall: 1
Query 156: naive time: 603.909 ms, recall: 1
Query 157: naive time: 603.605 ms, recall: 1
Query 158: naive time: 603.984 ms, recall: 1
Query 159: naive time: 605.232 ms, recall: 1
Query 160: naive time: 605.871 ms, recall: 1
Query 161: naive time: 603.028 ms, recall: 1
Query 162: naive time: 604.077 ms, recall: 1
Query 163: naive time: 605.201 ms, recall: 1
Query 164: naive time: 603.613 ms, recall: 1
Query 165: naive time: 604.019 ms, recall: 1
Query 166: naive time: 605.454 ms, recall: 1
Query 167: naive time: 603.914 ms, recall: 1
Query 168: naive time: 604.159 ms, recall: 1
Query 169: naive time: 603.959 ms, recall: 1
Query 170: naive time: 604.07 ms, recall: 1
Query 171: naive time: 602.914 ms, recall: 1
Query 172: naive time: 604.654 ms, recall: 1
Query 173: naive time: 602.881 ms, recall: 1
Query 174: naive time: 604.959 ms, recall: 1
Query 175: naive time: 602.617 ms, recall: 1
Query 176: naive time: 603.772 ms, recall: 1
Query 177: naive time: 605.831 ms, recall: 1
Query 178: naive time: 603.858 ms, recall: 1
Query 179: naive time: 602.419 ms, recall: 1
Query 180: naive time: 604.038 ms, recall: 1
Query 181: naive time: 604.465 ms, recall: 1
Query 182: naive time: 602.865 ms, recall: 1
Query 183: naive time: 601.834 ms, recall: 1
Query 184: naive time: 604.458 ms, recall: 1
Query 185: naive time: 603.261 ms, recall: 1
Query 186: naive time: 605.146 ms, recall: 1
Query 187: naive time: 603.065 ms, recall: 1
Query 188: naive time: 604.431 ms, recall: 1
Query 189: naive time: 604.595 ms, recall: 1
Query 190: naive time: 604.109 ms, recall: 1
Query 191: naive time: 603.634 ms, recall: 1
Query 192: naive time: 602.239 ms, recall: 1
Query 193: naive time: 606.368 ms, recall: 1
Query 194: naive time: 603.257 ms, recall: 1
Query 195: naive time: 603.835 ms, recall: 1
Query 196: naive time: 604.209 ms, recall: 1
Query 197: naive time: 604.406 ms, recall: 1
Query 198: naive time: 602.667 ms, recall: 1
Query 199: naive time: 605.05 ms, recall: 1
Query 200: naive time: 604.818 ms, recall: 1
Query 201: naive time: 605.491 ms, recall: 1
Query 202: naive time: 605.547 ms, recall: 1
Query 203: naive time: 604.723 ms, recall: 1
Query 204: naive time: 604.855 ms, recall: 1
Query 205: naive time: 602.879 ms, recall: 1
Query 206: naive time: 604.967 ms, recall: 1
Query 207: naive time: 604.439 ms, recall: 1
Query 208: naive time: 603.978 ms, recall: 1
Query 209: naive time: 604.026 ms, recall: 1
Query 210: naive time: 604.372 ms, recall: 1
Query 211: naive time: 603.514 ms, recall: 1
Query 212: naive time: 601.526 ms, recall: 1
Query 213: naive time: 603.781 ms, recall: 1
Query 214: naive time: 604.279 ms, recall: 1
Query 215: naive time: 604.306 ms, recall: 1
Query 216: naive time: 603.942 ms, recall: 1
Query 217: naive time: 604.467 ms, recall: 1
Query 218: naive time: 605.267 ms, recall: 1
Query 219: naive time: 604.412 ms, recall: 1
Query 220: naive time: 604.562 ms, recall: 1
Query 221: naive time: 605.135 ms, recall: 1
Query 222: naive time: 604.348 ms, recall: 1
Query 223: naive time: 605.706 ms, recall: 1
Query 224: naive time: 602.672 ms, recall: 1
Query 225: naive time: 601.971 ms, recall: 1
Query 226: naive time: 605.001 ms, recall: 1
Query 227: naive time: 602.712 ms, recall: 1
