Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,Threading
imagenet,1,KNNS Binary (Threaded),1281151,1000,Build,21.9926,0.0,1990.81779,1.0,0.9988,502.3061,True
imagenet,1,KNNS Binary (Serial),1281151,1000,Build,21.3042,0.0,5836.52592,1.0,0.9988,171.3348,False
imagenet,1,KNNS Double (Threaded),1281151,1000,Build,36.2087,0.0,2092.84115,1.0,0.9988,477.8194,True
imagenet,1,KNNS Double (Serial),1281151,1000,Build,78.4052,0.0,8184.88359,1.0,0.9988,122.1764,False
imagenet,1,Linscan (Base),1281151,1000,Build,911.4914,0.0,456664.60919,0.9293,0.8894,2.1898,True
imagenet,1,Cufe (Base),1281151,1000,Build,504.6861,0.0,289810.58931,0.6714,0.6492,3.4505,True
imagenet,1,SHNSW (Base),1281151,1000,Build,346.6792,0.0,76.9031,0.794,0.7592,13003.3762,True
imagenet,1,Faiss HNSW,1281151,1000,Build,91.1029,0.0,81.04563,0.8578,0.8192,12338.7286,True
imagenet,1,Faiss GT,1281151,1000,Build,3.6314,0.0,30960.92129,0.928,0.8874,32.2988,True
imagenet,1,Scann,1281151,1000,Build,99.3463,0.0,3779.70123,0.4509,0.4124,264.5712,True
imagenet,1,Falconn,1281151,1000,Build,9.5134,0.0,1674.86024,0.9148,0.8751,597.0647,True
imdb_wiki,1,KNNS Binary (Threaded),520458,1000,Build,105.1992,0.0,45673.44165,1.0,0.9733,21.8946,True
imdb_wiki,1,KNNS Binary (Serial),520458,1000,Build,68.6519,0.0,138903.38159,1.0,0.9733,7.1992,False
imdb_wiki,1,KNNS Double (Threaded),520458,1000,Build,145.5874,0.0,50521.02804,1.0,0.9733,19.7937,True
imdb_wiki,1,KNNS Double (Serial),520458,1000,Build,145.1564,0.0,221348.60563,1.0,0.9733,4.5178,False
imdb_wiki,1,Linscan (Base),520458,1000,Build,272.1645,0.0,138646.90709,0.9993,0.972,7.2126,True
imdb_wiki,1,Cufe (Base),520458,1000,Build,203.2532,0.0,60208.93574,0.9826,0.9565,16.6088,True
imdb_wiki,1,SHNSW (Base),520458,1000,Build,245.7921,0.0,77.42977,0.8236,0.8035,12914.929,True
imdb_wiki,1,Faiss HNSW,520458,1000,Build,53.5439,0.0,102.58245,0.9387,0.9117,9748.2557,True
imdb_wiki,1,Faiss GT,520458,1000,Build,0.5687,0.0,12877.48647,0.9992,0.9727,77.6549,True
imdb_wiki,1,Scann,520458,1000,Build,78.2346,0.0,1793.27822,0.8565,0.8333,557.638,True
imdb_wiki,1,Falconn,520458,1000,Build,3.8748,0.0,6798.63954,0.9573,0.9317,147.0883,True
insta_1m,1,KNNS Binary (Threaded),999991,1000,Build,28.072,0.0,23277.66013,1.0,0.995,42.9596,True
insta_1m,1,KNNS Binary (Serial),999991,1000,Build,3.1477,0.0,62231.67825,1.0,0.995,16.069,False
insta_1m,1,KNNS Double (Threaded),999991,1000,Build,99.6482,0.0,19298.22254,1.0,0.995,51.8182,True
insta_1m,1,KNNS Double (Serial),999991,1000,Build,217.0389,0.0,72843.98055,1.0,0.995,13.728,False
insta_1m,1,Linscan (Base),999991,1000,Build,541.824,0.0,316062.29281,0.9978,0.9933,3.1639,True
insta_1m,1,Cufe (Base),999991,1000,Build,297.78,0.0,170198.48943,0.953,0.9489,5.8755,True
insta_1m,1,SHNSW (Base),999991,1000,Build,371.6532,0.0,67.60287,0.8392,0.8356,14792.2708,True
insta_1m,1,Faiss HNSW,999991,1000,Build,89.0168,0.0,97.89872,0.9369,0.9326,10214.638,True
insta_1m,1,Faiss GT,999991,1000,Build,2.809,0.0,21220.03865,0.9976,0.9932,47.1253,True
insta_1m,1,Scann,999991,1000,Build,45.7682,0.0,3434.973,0.7596,0.7561,291.1231,True
insta_1m,1,Falconn,999991,1000,Build,7.7706,0.0,2972.79024,0.9646,0.9601,336.3843,True
mirflickr,1,KNNS Binary (Threaded),999993,1000,Build,121.444,0.0,16655.59864,1.0,1.0,60.0399,True
mirflickr,1,KNNS Binary (Serial),999993,1000,Build,97.4839,0.0,40182.33418,1.0,1.0,24.8866,False
mirflickr,1,KNNS Double (Threaded),999993,1000,Build,185.0126,0.0,11757.72715,1.0,1.0,85.0505,True
mirflickr,1,KNNS Double (Serial),999993,1000,Build,267.941,0.0,51767.05456,1.0,1.0,19.3173,False
mirflickr,1,Linscan (Base),999993,1000,Build,666.5961,0.0,314566.3588,0.9863,0.9801,3.179,True
mirflickr,1,Cufe (Base),999993,1000,Build,361.6583,0.0,169755.49412,0.9299,0.9292,5.8908,True
mirflickr,1,SHNSW (Base),999993,1000,Build,388.7724,0.0,60.66203,0.846,0.8399,16484.7761,True
mirflickr,1,Faiss HNSW,999993,1000,Build,80.8974,0.0,86.3359,0.93,0.9234,11582.6676,True
mirflickr,1,Faiss GT,999993,1000,Build,2.7919,0.0,20924.06178,0.9866,0.9805,47.7919,True
mirflickr,1,Scann,999993,1000,Build,45.3626,0.0,3334.05614,0.7439,0.7387,299.935,True
mirflickr,1,Falconn,999993,1000,Build,7.9511,0.0,2292.12523,0.9623,0.9562,436.2763,True
