Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,peak_mb,avg_mb,start_mb,end_mb,growth_mb,Threading
imagenet,1,KNNS Binary (Threaded),300000,1000,Build,4.9597,0.0,245.01228,1.0,1.0,4081.428,17000.15,11397.88,10118.39,17000.15,6881.77,True
imagenet,2,KNNS Binary (Threaded),301000,1000,Update,0.0,0.0345,241.55593,0.0,1.0,4139.828,17108.64,17107.76,17063.51,17108.64,45.13,True
imagenet,3,KNNS Binary (Threaded),500000,1000,Update,0.0,4.3251,399.33252,0.0,1.0,2504.1787,21686.25,18043.45,17108.64,21686.25,4577.61,True
imagenet,1,KNNS Binary (Serial),300000,1000,Build,4.8722,0.0,1016.52265,1.0,1.0,983.7459,28561.68,22963.67,21686.25,28561.68,6875.43,False
imagenet,2,KNNS Binary (Serial),301000,1000,Update,0.0,0.0146,1018.60547,0.0,1.0,981.7344,24739.32,24737.79,24731.69,24739.32,7.63,False
imagenet,3,KNNS Binary (Serial),500000,1000,Update,0.0,2.5436,1644.13476,0.0,1.0,608.2226,26257.57,24923.35,24739.32,26257.57,1518.25,False
imagenet,1,KNNS Double (Threaded),300000,1000,Build,2.8093,0.0,397.17054,1.0,1.0,2517.8101,30891.46,26859.99,26257.57,30891.46,4633.89,True
imagenet,2,KNNS Double (Threaded),301000,1000,Update,0.0,0.0144,393.11314,0.0,1.0,2543.797,27086.02,27083.84,27076.76,27086.02,9.27,True
imagenet,3,KNNS Double (Threaded),500000,1000,Update,0.0,2.4535,604.76804,0.0,1.0,1653.5265,28633.51,27559.92,27086.02,28633.51,1547.49,True
imagenet,1,KNNS Double (Serial),300000,1000,Build,1.6169,0.0,2236.80067,1.0,1.0,447.0671,30922.34,29062.67,28633.51,30922.34,2288.83,False
imagenet,2,KNNS Double (Serial),301000,1000,Update,0.0,0.5045,2244.65919,0.0,1.0,445.5019,27107.64,27107.64,27107.64,27107.64,0.0,False
imagenet,3,KNNS Double (Serial),500000,1000,Update,0.0,1.3911,3295.88652,0.0,1.0,303.4085,27107.64,27107.64,27107.64,27107.64,0.0,False
imagenet,1,KNNS Reordered Binary (Threaded),300000,1000,Build,2.6669,0.0,223.98758,1.0,1.0,4464.5333,30925.79,27823.55,27107.64,30925.79,3818.14,True
imagenet,2,KNNS Reordered Binary (Threaded),301000,1000,Update,0.0,0.9331,226.81069,0.0,0.9932,4408.9632,30933.41,30931.89,30925.79,30933.41,7.63,True
imagenet,3,KNNS Reordered Binary (Threaded),500000,1000,Update,0.0,191.1453,383.83245,0.0,0.9965,2605.3034,32451.66,31400.57,30933.41,32451.66,1518.25,True
imagenet,1,KNNS Reordered Binary (Serial),300000,1000,Build,0.9325,0.0,956.05135,1.0,1.0,1045.9689,32451.66,32451.66,32451.66,32451.66,0.0,False
imagenet,2,KNNS Reordered Binary (Serial),301000,1000,Update,0.0,1.3215,962.31675,0.0,0.9932,1039.1589,27107.77,27107.77,27107.77,27107.77,0.0,False
imagenet,3,KNNS Reordered Binary (Serial),500000,1000,Update,0.0,205.6226,1620.53537,0.0,0.9965,617.08,27107.77,27107.77,27107.77,27107.77,0.0,False
imagenet,1,KNNS Reordered Double (Threaded),300000,1000,Build,2.6535,0.0,280.65896,1.0,1.0,3563.0432,30928.1,27824.07,27107.77,30928.1,3820.33,True
imagenet,2,KNNS Reordered Double (Threaded),301000,1000,Update,0.0,0.9459,284.6241,0.0,0.9932,3513.4059,30935.75,30934.21,30928.1,30935.75,7.65,True
imagenet,3,KNNS Reordered Double (Threaded),500000,1000,Update,0.0,191.4821,498.09885,0.0,0.9965,2007.6336,32460.12,31404.31,30935.75,32460.12,1524.37,True
imagenet,1,KNNS Reordered Double (Serial),300000,1000,Build,0.9323,0.0,1856.71926,1.0,1.0,538.5844,32460.12,32460.12,32460.12,32460.12,0.0,False
imagenet,2,KNNS Reordered Double (Serial),301000,1000,Update,0.0,1.3647,1870.51702,0.0,0.9932,534.6115,27113.95,26680.29,27113.95,26391.19,0.0,False
imagenet,3,KNNS Reordered Double (Serial),500000,1000,Update,0.0,202.3983,2853.78456,0.0,0.9965,350.4119,26391.19,26391.19,26391.19,26391.19,0.0,False
