Mean search time: 527.774 ms
Net number of dot products: 186202392
Query 0: naive time: 445.726 ms, recall: 1
Query 1: naive time: 427.571 ms, recall: 1
Query 2: naive time: 408.922 ms, recall: 1
Query 3: naive time: 292.966 ms, recall: 1
Query 4: naive time: 347.27 ms, recall: 1
Query 5: naive time: 359.346 ms, recall: 1
Query 6: naive time: 419.581 ms, recall: 1
Query 7: naive time: 446.251 ms, recall: 1
Query 8: naive time: 382.66 ms, recall: 1
Query 9: naive time: 385.167 ms, recall: 1
Query 10: naive time: 376.812 ms, recall: 1
Query 11: naive time: 413.44 ms, recall: 1
Query 12: naive time: 423.86 ms, recall: 1
Query 13: naive time: 282.826 ms, recall: 1
Query 14: naive time: 331.902 ms, recall: 1
Query 15: naive time: 404.128 ms, recall: 1
Query 16: naive time: 344.007 ms, recall: 1
Query 17: naive time: 389.181 ms, recall: 1
Query 18: naive time: 349.432 ms, recall: 1
Query 19: naive time: 365.24 ms, recall: 1
Query 20: naive time: 350.943 ms, recall: 1
Query 21: naive time: 365.92 ms, recall: 1
Query 22: naive time: 432.189 ms, recall: 1
Query 23: naive time: 367.982 ms, recall: 1
Query 24: naive time: 340.309 ms, recall: 1
Query 25: naive time: 400.41 ms, recall: 1
Query 26: naive time: 386.736 ms, recall: 1
Query 27: naive time: 369.502 ms, recall: 1
Query 28: naive time: 378.641 ms, recall: 1
Query 29: naive time: 424.355 ms, recall: 1
Query 30: naive time: 474.084 ms, recall: 1
Query 31: naive time: 369.606 ms, recall: 1
Query 32: naive time: 405.58 ms, recall: 1
Query 33: naive time: 305.966 ms, recall: 1
Query 34: naive time: 342.257 ms, recall: 1
Query 35: naive time: 383.119 ms, recall: 1
Query 36: naive time: 380.852 ms, recall: 1
Query 37: naive time: 353.788 ms, recall: 1
Query 38: naive time: 355.214 ms, recall: 1
Query 39: naive time: 420.245 ms, recall: 1
Query 40: naive time: 356.554 ms, recall: 1
Query 41: naive time: 494.843 ms, recall: 1
Query 42: naive time: 466.896 ms, recall: 1
Query 43: naive time: 434.375 ms, recall: 1
Query 44: naive time: 367.555 ms, recall: 1
Query 45: naive time: 317.336 ms, recall: 1
Query 46: naive time: 470.521 ms, recall: 1
Query 47: naive time: 383.514 ms, recall: 1
Query 48: naive time: 362.961 ms, recall: 1
Query 49: naive time: 353.958 ms, recall: 1
Query 50: naive time: 342.357 ms, recall: 1
Query 51: naive time: 409.684 ms, recall: 1
Query 52: naive time: 365.971 ms, recall: 1
Query 53: naive time: 420.04 ms, recall: 1
Query 54: naive time: 342.546 ms, recall: 1
Query 55: naive time: 356.066 ms, recall: 1
Query 56: naive time: 361.367 ms, recall: 1
Query 57: naive time: 391.769 ms, recall: 1
Query 58: naive time: 494.041 ms, recall: 1
Query 59: naive time: 374.243 ms, recall: 1
Query 60: naive time: 296.573 ms, recall: 1
Query 61: naive time: 337.874 ms, recall: 1
Query 62: naive time: 431.724 ms, recall: 1
Query 63: naive time: 374.514 ms, recall: 1
Query 64: naive time: 403.858 ms, recall: 1
Query 65: naive time: 306.799 ms, recall: 1
Query 66: naive time: 322.362 ms, recall: 1
Query 67: naive time: 508.055 ms, recall: 1
Query 68: naive time: 346.157 ms, recall: 1
Query 69: naive time: 358.5 ms, recall: 1
Query 70: naive time: 445.763 ms, recall: 1
Query 71: naive time: 329.37 ms, recall: 1
Query 72: naive time: 417.582 ms, recall: 1
Query 73: naive time: 372.255 ms, recall: 1
Query 74: naive time: 431.683 ms, recall: 1
Query 75: naive time: 340.645 ms, recall: 1
Query 76: naive time: 406.446 ms, recall: 1
Query 77: naive time: 440.117 ms, recall: 1
Query 78: naive time: 362.099 ms, recall: 1
Query 79: naive time: 465.199 ms, recall: 1
Query 80: naive time: 444.048 ms, recall: 1
Query 81: naive time: 373.303 ms, recall: 1
Query 82: naive time: 299.569 ms, recall: 1
Query 83: naive time: 351.642 ms, recall: 1
Query 84: naive time: 475.97 ms, recall: 1
Query 85: naive time: 316.161 ms, recall: 1
Query 86: naive time: 454.445 ms, recall: 1
Query 87: naive time: 397.969 ms, recall: 1
Query 88: naive time: 365.649 ms, recall: 1
Query 89: naive time: 344.07 ms, recall: 1
Query 90: naive time: 376.903 ms, recall: 1
Query 91: naive time: 302.423 ms, recall: 1
Query 92: naive time: 408.06 ms, recall: 1
Query 93: naive time: 413.954 ms, recall: 1
Query 94: naive time: 368.866 ms, recall: 1
Query 95: naive time: 391.845 ms, recall: 1
Query 96: naive time: 400.669 ms, recall: 1
Query 97: naive time: 348.814 ms, recall: 1
Query 98: naive time: 381.488 ms, recall: 1
Query 99: naive time: 311.692 ms, recall: 1
Query 100: naive time: 335.849 ms, recall: 1
Query 101: naive time: 356.581 ms, recall: 1
Query 102: naive time: 487.99 ms, recall: 1
Query 103: naive time: 376.099 ms, recall: 1
Query 104: naive time: 396.183 ms, recall: 1
Query 105: naive time: 335.727 ms, recall: 1
Query 106: naive time: 459.365 ms, recall: 1
Query 107: naive time: 400.188 ms, recall: 1
Query 108: naive time: 331.863 ms, recall: 1
Query 109: naive time: 355.567 ms, recall: 1
Query 110: naive time: 413.12 ms, recall: 1
Query 111: naive time: 401.23 ms, recall: 1
Query 112: naive time: 369.906 ms, recall: 1
Query 113: naive time: 395.43 ms, recall: 1
Query 114: naive time: 394.948 ms, recall: 1
Query 115: naive time: 394.771 ms, recall: 1
Query 116: naive time: 433.567 ms, recall: 1
Query 117: naive time: 443.961 ms, recall: 1
Query 118: naive time: 475.386 ms, recall: 1
Query 119: naive time: 440.493 ms, recall: 1
Query 120: naive time: 447.97 ms, recall: 1
Query 121: naive time: 407.639 ms, recall: 1
Query 122: naive time: 325.954 ms, recall: 1
Query 123: naive time: 438.803 ms, recall: 1
Query 124: naive time: 364.081 ms, recall: 1
Query 125: naive time: 318.33 ms, recall: 1
Query 126: naive time: 296.342 ms, recall: 1
Query 127: naive time: 317.971 ms, recall: 1
Query 128: naive time: 367.105 ms, recall: 1
Query 129: naive time: 307.388 ms, recall: 1
Query 130: naive time: 325.078 ms, recall: 1
Query 131: naive time: 353.266 ms, recall: 1
Query 132: naive time: 291.353 ms, recall: 1
Query 133: naive time: 449.74 ms, recall: 1
Query 134: naive time: 370.147 ms, recall: 1
Query 135: naive time: 346.889 ms, recall: 1
Query 136: naive time: 428.745 ms, recall: 1
Query 137: naive time: 385.027 ms, recall: 1
Query 138: naive time: 383.012 ms, recall: 1
Query 139: naive time: 310.827 ms, recall: 1
Query 140: naive time: 320.055 ms, recall: 1
Query 141: naive time: 349.742 ms, recall: 1
Query 142: naive time: 349.767 ms, recall: 1
Query 143: naive time: 406.554 ms, recall: 1
Query 144: naive time: 431.921 ms, recall: 1
Query 145: naive time: 411.269 ms, recall: 1
Query 146: naive time: 401.58 ms, recall: 1
Query 147: naive time: 387.118 ms, recall: 1
Query 148: naive time: 343.921 ms, recall: 1
Query 149: naive time: 324.164 ms, recall: 1
Query 150: naive time: 342.044 ms, recall: 1
Query 151: naive time: 353.238 ms, recall: 1
Query 152: naive time: 376.24 ms, recall: 1
Query 153: naive time: 343.432 ms, recall: 1
Query 154: naive time: 344.413 ms, recall: 1
Query 155: naive time: 504.723 ms, recall: 1
Query 156: naive time: 369.415 ms, recall: 1
Query 157: naive time: 440.431 ms, recall: 1
Query 158: naive time: 377.816 ms, recall: 1
Query 159: naive time: 381.865 ms, recall: 1
Query 160: naive time: 390.013 ms, recall: 1
Query 161: naive time: 318.76 ms, recall: 1
Query 162: naive time: 307.461 ms, recall: 1
Query 163: naive time: 320.516 ms, recall: 1
Query 164: naive time: 410.787 ms, recall: 1
Query 165: naive time: 328.147 ms, recall: 1
Query 166: naive time: 275.865 ms, recall: 1
Query 167: naive time: 409.764 ms, recall: 1
Query 168: naive time: 447.492 ms, recall: 1
Query 169: naive time: 340.843 ms, recall: 1
Query 170: naive time: 425.343 ms, recall: 1
Query 171: naive time: 334.385 ms, recall: 1
Query 172: naive time: 306.559 ms, recall: 1
Query 173: naive time: 459.066 ms, recall: 1
Query 174: naive time: 351.954 ms, recall: 1
Query 175: naive time: 369.63 ms, recall: 1
Query 176: naive time: 379.334 ms, recall: 1
