Mean search time: 30.0489 ms
Net number of dot products: 1177889060
Query 0: naive time: 528.952 ms, recall: 1
Query 1: naive time: 689.643 ms, recall: 1
Query 2: naive time: 697.499 ms, recall: 1
Query 3: naive time: 773.709 ms, recall: 1
Query 4: naive time: 655.348 ms, recall: 1
Query 5: naive time: 583.998 ms, recall: 1
Query 6: naive time: 463.519 ms, recall: 1
Query 7: naive time: 790.336 ms, recall: 1
Query 8: naive time: 946.118 ms, recall: 1
Query 9: naive time: 465.603 ms, recall: 1
Query 10: naive time: 609.2 ms, recall: 1
Query 11: naive time: 868.766 ms, recall: 1
Query 12: naive time: 564.319 ms, recall: 1
Query 13: naive time: 551.235 ms, recall: 1
Query 14: naive time: 702.457 ms, recall: 1
Query 15: naive time: 815.769 ms, recall: 1
Query 16: naive time: 831.257 ms, recall: 1
Query 17: naive time: 693.17 ms, recall: 1
Query 18: naive time: 515.879 ms, recall: 1
Query 19: naive time: 769.699 ms, recall: 1
Query 20: naive time: 526.289 ms, recall: 1
Query 21: naive time: 547.518 ms, recall: 1
Query 22: naive time: 493.29 ms, recall: 1
Query 23: naive time: 787.36 ms, recall: 1
Query 24: naive time: 771.635 ms, recall: 1
Query 25: naive time: 772.226 ms, recall: 1
Query 26: naive time: 547.371 ms, recall: 1
Query 27: naive time: 525.394 ms, recall: 1
Query 28: naive time: 491.215 ms, recall: 1
Query 29: naive time: 708.239 ms, recall: 1
Query 30: naive time: 519.94 ms, recall: 1
Query 31: naive time: 608.806 ms, recall: 1
Query 32: naive time: 484.884 ms, recall: 1
Query 33: naive time: 1057.02 ms, recall: 1
Query 34: naive time: 832.035 ms, recall: 1
Query 35: naive time: 511.021 ms, recall: 1
Query 36: naive time: 706.564 ms, recall: 1
Query 37: naive time: 600.052 ms, recall: 1
Query 38: naive time: 882.32 ms, recall: 1
Query 39: naive time: 584.797 ms, recall: 1
Query 40: naive time: 749.05 ms, recall: 1
Query 41: naive time: 706.381 ms, recall: 1
Query 42: naive time: 497.998 ms, recall: 1
Query 43: naive time: 483.678 ms, recall: 1
Query 44: naive time: 939.977 ms, recall: 1
Query 45: naive time: 534.511 ms, recall: 1
Query 46: naive time: 530.113 ms, recall: 1
Query 47: naive time: 602.335 ms, recall: 1
Query 48: naive time: 512.613 ms, recall: 1
Query 49: naive time: 597.509 ms, recall: 1
Query 50: naive time: 894.805 ms, recall: 1
Query 51: naive time: 479.569 ms, recall: 1
Query 52: naive time: 629.5 ms, recall: 1
Query 53: naive time: 437.656 ms, recall: 1
Query 54: naive time: 639.87 ms, recall: 1
Query 55: naive time: 900.414 ms, recall: 1
Query 56: naive time: 717.613 ms, recall: 1
Query 57: naive time: 536.553 ms, recall: 1
Query 58: naive time: 695.532 ms, recall: 1
Query 59: naive time: 509.871 ms, recall: 1
Query 60: naive time: 794.841 ms, recall: 1
Query 61: naive time: 599.292 ms, recall: 1
Query 62: naive time: 732.476 ms, recall: 1
Query 63: naive time: 644.243 ms, recall: 1
Query 64: naive time: 597.028 ms, recall: 1
Query 65: naive time: 555.01 ms, recall: 1
Query 66: naive time: 496.114 ms, recall: 1
Query 67: naive time: 491.981 ms, recall: 1
Query 68: naive time: 597.745 ms, recall: 1
Query 69: naive time: 755.788 ms, recall: 1
Query 70: naive time: 631.477 ms, recall: 1
Query 71: naive time: 736.766 ms, recall: 1
Query 72: naive time: 781.025 ms, recall: 1
Query 73: naive time: 691.401 ms, recall: 1
Query 74: naive time: 875.383 ms, recall: 1
Query 75: naive time: 493.859 ms, recall: 1
Query 76: naive time: 696.038 ms, recall: 1
Query 77: naive time: 539.337 ms, recall: 1
Query 78: naive time: 479.497 ms, recall: 1
Query 79: naive time: 688.446 ms, recall: 1
Query 80: naive time: 720.881 ms, recall: 1
Query 81: naive time: 752.6 ms, recall: 1
Query 82: naive time: 421.618 ms, recall: 1
Query 83: naive time: 579.447 ms, recall: 1
Query 84: naive time: 856.918 ms, recall: 1
Query 85: naive time: 762.471 ms, recall: 1
Query 86: naive time: 720.583 ms, recall: 1
Query 87: naive time: 710.855 ms, recall: 1
Query 88: naive time: 1083.78 ms, recall: 1
Query 89: naive time: 722.193 ms, recall: 1
Query 90: naive time: 798.934 ms, recall: 1
Query 91: naive time: 880.942 ms, recall: 1
