Mean search time: 141.925 ms
Net number of dot products: 6504276396
Query 0: naive time: 4932.34 ms, recall: 1
Query 1: naive time: 6416.17 ms, recall: 1
Query 2: naive time: 6651.9 ms, recall: 1
Query 3: naive time: 7296.32 ms, recall: 1
Query 4: naive time: 6126.72 ms, recall: 1
Query 5: naive time: 5579.14 ms, recall: 1
Query 6: naive time: 4471.15 ms, recall: 1
Query 7: naive time: 7349.48 ms, recall: 1
Query 8: naive time: 8724.45 ms, recall: 1
Query 9: naive time: 4472.77 ms, recall: 1
Query 10: naive time: 5749.14 ms, recall: 1
Query 11: naive time: 8024.44 ms, recall: 1
Query 12: naive time: 5322.73 ms, recall: 1
Query 13: naive time: 5224.14 ms, recall: 1
Query 14: naive time: 6584.49 ms, recall: 1
Query 15: naive time: 7575.08 ms, recall: 1
Query 16: naive time: 7830.53 ms, recall: 1
Query 17: naive time: 6499.31 ms, recall: 1
Query 18: naive time: 4868.1 ms, recall: 1
Query 19: naive time: 7240.52 ms, recall: 1
Query 20: naive time: 4934.06 ms, recall: 1
Query 21: naive time: 5214.3 ms, recall: 1
Query 22: naive time: 4705.41 ms, recall: 1
Query 23: naive time: 7284.99 ms, recall: 1
Query 24: naive time: 7026.97 ms, recall: 1
Query 25: naive time: 6969.92 ms, recall: 1
Query 26: naive time: 4990.1 ms, recall: 1
Query 27: naive time: 4906.6 ms, recall: 1
Query 28: naive time: 4616.21 ms, recall: 1
Query 29: naive time: 6372.88 ms, recall: 1
Query 30: naive time: 4784.78 ms, recall: 1
Query 31: naive time: 5537.94 ms, recall: 1
Query 32: naive time: 4502.41 ms, recall: 1
Query 33: naive time: 9620.73 ms, recall: 1
Query 34: naive time: 7667.99 ms, recall: 1
Query 35: naive time: 4927.8 ms, recall: 1
Query 36: naive time: 6605.5 ms, recall: 1
Query 37: naive time: 5764.75 ms, recall: 1
Query 38: naive time: 8177.86 ms, recall: 1
Query 39: naive time: 5555.13 ms, recall: 1
Query 40: naive time: 6860.96 ms, recall: 1
Query 41: naive time: 6352.53 ms, recall: 1
Query 42: naive time: 4621.04 ms, recall: 1
Query 43: naive time: 4492.09 ms, recall: 1
Query 44: naive time: 8308.19 ms, recall: 1
Query 45: naive time: 4932.31 ms, recall: 1
Query 46: naive time: 4840.52 ms, recall: 1
Query 47: naive time: 5553.96 ms, recall: 1
Query 48: naive time: 4739.93 ms, recall: 1
Query 49: naive time: 5446.5 ms, recall: 1
Query 50: naive time: 7955.08 ms, recall: 1
Query 51: naive time: 4526.97 ms, recall: 1
Query 52: naive time: 5751.87 ms, recall: 1
Query 53: naive time: 4154.23 ms, recall: 1
Query 54: naive time: 5927.31 ms, recall: 1
Query 55: naive time: 7952.64 ms, recall: 1
Query 56: naive time: 6446.68 ms, recall: 1
Query 57: naive time: 4906.02 ms, recall: 1
Query 58: naive time: 6442.13 ms, recall: 1
Query 59: naive time: 4950.26 ms, recall: 1
Query 60: naive time: 7383.55 ms, recall: 1
Query 61: naive time: 5671.98 ms, recall: 1
Query 62: naive time: 6858.54 ms, recall: 1
Query 63: naive time: 6043.2 ms, recall: 1
Query 64: naive time: 5717.01 ms, recall: 1
Query 65: naive time: 5180.66 ms, recall: 1
Query 66: naive time: 4669.49 ms, recall: 1
Query 67: naive time: 4690.06 ms, recall: 1
Query 68: naive time: 5660.75 ms, recall: 1
Query 69: naive time: 7053.61 ms, recall: 1
Query 70: naive time: 5877.16 ms, recall: 1
Query 71: naive time: 6886.96 ms, recall: 1
Query 72: naive time: 7367.52 ms, recall: 1
Query 73: naive time: 6694.34 ms, recall: 1
Query 74: naive time: 8390.82 ms, recall: 1
Query 75: naive time: 4864.08 ms, recall: 1
Query 76: naive time: 6732.9 ms, recall: 1
Query 77: naive time: 5291.49 ms, recall: 1
Query 78: naive time: 4692.41 ms, recall: 1
Query 79: naive time: 6679.27 ms, recall: 1
Query 80: naive time: 6933.32 ms, recall: 1
Query 81: naive time: 7271.36 ms, recall: 1
Query 82: naive time: 4193.59 ms, recall: 1
Query 83: naive time: 5549.48 ms, recall: 1
Query 84: naive time: 8232.36 ms, recall: 1
Query 85: naive time: 7286.15 ms, recall: 1
Query 86: naive time: 6686.94 ms, recall: 1
Query 87: naive time: 6642.26 ms, recall: 1
Query 88: naive time: 9973.84 ms, recall: 1
Query 89: naive time: 6697.47 ms, recall: 1
Query 90: naive time: 7438.18 ms, recall: 1
Query 91: naive time: 8148.15 ms, recall: 1
Query 92: naive time: 5227.49 ms, recall: 1
Query 93: naive time: 7232.14 ms, recall: 1
Query 94: naive time: 6038.05 ms, recall: 1
Query 95: naive time: 8037.31 ms, recall: 1
Query 96: naive time: 4602.33 ms, recall: 1
Query 97: naive time: 8986.98 ms, recall: 1
Query 98: naive time: 6884.31 ms, recall: 1
Query 99: naive time: 5920.65 ms, recall: 1
Query 100: naive time: 10114.8 ms, recall: 1
Query 101: naive time: 7803.78 ms, recall: 1
Query 102: naive time: 9438.07 ms, recall: 1
Query 103: naive time: 5942.07 ms, recall: 1
Query 104: naive time: 5665.04 ms, recall: 1
Query 105: naive time: 9522.78 ms, recall: 1
Query 106: naive time: 6859.96 ms, recall: 1
Query 107: naive time: 5497.73 ms, recall: 1
Query 108: naive time: 7253.44 ms, recall: 1
Query 109: naive time: 6927.08 ms, recall: 1
Query 110: naive time: 7598.38 ms, recall: 1
Query 111: naive time: 6173.5 ms, recall: 1
Query 112: naive time: 5580.06 ms, recall: 1
Query 113: naive time: 7876.71 ms, recall: 1
Query 114: naive time: 5868.73 ms, recall: 1
Query 115: naive time: 8753.15 ms, recall: 1
Query 116: naive time: 5535.48 ms, recall: 1
Query 117: naive time: 5489.3 ms, recall: 1
Query 118: naive time: 7542.4 ms, recall: 1
Query 119: naive time: 5926 ms, recall: 1
Query 120: naive time: 10168.3 ms, recall: 1
Query 121: naive time: 7053.36 ms, recall: 1
Query 122: naive time: 7339.5 ms, recall: 1
Query 123: naive time: 5661.55 ms, recall: 1
Query 124: naive time: 6777 ms, recall: 1
Query 125: naive time: 9767.51 ms, recall: 1
Query 126: naive time: 9180.57 ms, recall: 1
Query 127: naive time: 8703.09 ms, recall: 1
Query 128: naive time: 7703.43 ms, recall: 1
Query 129: naive time: 5456.66 ms, recall: 1
Query 130: naive time: 6488.89 ms, recall: 1
Query 131: naive time: 4344.42 ms, recall: 1
Query 132: naive time: 4701.82 ms, recall: 1
Query 133: naive time: 7824.32 ms, recall: 1
Query 134: naive time: 8174.11 ms, recall: 1
Query 135: naive time: 4926.56 ms, recall: 1
Query 136: naive time: 8289.14 ms, recall: 1
Query 137: naive time: 4069.47 ms, recall: 1
Query 138: naive time: 5900.9 ms, recall: 1
Query 139: naive time: 7300.77 ms, recall: 1
Query 140: naive time: 6419.42 ms, recall: 1
Query 141: naive time: 7130.81 ms, recall: 1
Query 142: naive time: 4479.76 ms, recall: 1
Query 143: naive time: 8293.83 ms, recall: 1
Query 144: naive time: 6906.2 ms, recall: 1
Query 145: naive time: 6713.53 ms, recall: 1
Query 146: naive time: 6638.74 ms, recall: 1
Query 147: naive time: 6102.34 ms, recall: 1
Query 148: naive time: 7763.79 ms, recall: 1
Query 149: naive time: 4939.56 ms, recall: 1
Query 150: naive time: 6821.47 ms, recall: 1
Query 151: naive time: 7021.45 ms, recall: 1
Query 152: naive time: 6532.01 ms, recall: 1
Query 153: naive time: 6099.82 ms, recall: 1
Query 154: naive time: 8496.23 ms, recall: 1
Query 155: naive time: 8454.81 ms, recall: 1
Query 156: naive time: 6725.32 ms, recall: 1
Query 157: naive time: 6164.07 ms, recall: 1
Query 158: naive time: 7020.25 ms, recall: 1
Query 159: naive time: 8973.23 ms, recall: 1
Query 160: naive time: 6143.08 ms, recall: 1
Query 161: naive time: 6082.72 ms, recall: 1
Query 162: naive time: 8193.25 ms, recall: 1
Query 163: naive time: 7776.06 ms, recall: 1
Query 164: naive time: 6960.33 ms, recall: 1
Query 165: naive time: 8250.95 ms, recall: 1
Query 166: naive time: 5912.43 ms, recall: 1
Query 167: naive time: 7557.78 ms, recall: 1
Query 168: naive time: 7284.35 ms, recall: 1
Query 169: naive time: 8610.1 ms, recall: 1
Query 170: naive time: 7700.59 ms, recall: 1
Query 171: naive time: 7791.77 ms, recall: 1
Query 172: naive time: 4944.68 ms, recall: 1
Query 173: naive time: 8304.62 ms, recall: 1
Query 174: naive time: 8593.27 ms, recall: 1
Query 175: naive time: 6679.44 ms, recall: 1
Query 176: naive time: 8756.05 ms, recall: 1
Query 177: naive time: 9356.01 ms, recall: 1
Query 178: naive time: 8902.67 ms, recall: 1
Query 179: naive time: 5137.32 ms, recall: 1
Query 180: naive time: 6295.95 ms, recall: 1
Query 181: naive time: 6616.97 ms, recall: 1
Query 182: naive time: 8239.56 ms, recall: 1
Query 183: naive time: 7920.73 ms, recall: 1
Query 184: naive time: 6341.12 ms, recall: 1
Query 185: naive time: 7051.42 ms, recall: 1
Query 186: naive time: 8450.16 ms, recall: 1
Query 187: naive time: 8720.99 ms, recall: 1
Query 188: naive time: 7944.92 ms, recall: 1
Query 189: naive time: 8659.68 ms, recall: 1
Query 190: naive time: 8817.18 ms, recall: 1
Query 191: naive time: 5654.31 ms, recall: 1
Query 192: naive time: 7095.1 ms, recall: 1
Query 193: naive time: 5287.92 ms, recall: 1
Query 194: naive time: 5714.47 ms, recall: 1
Query 195: naive time: 5657.71 ms, recall: 1
Query 196: naive time: 9433.42 ms, recall: 1
Query 197: naive time: 6135.38 ms, recall: 1
Query 198: naive time: 9234.94 ms, recall: 1
Query 199: naive time: 4964.34 ms, recall: 1
Query 200: naive time: 8516.28 ms, recall: 1
Query 201: naive time: 9391.38 ms, recall: 1
Query 202: naive time: 6864.57 ms, recall: 1
Query 203: naive time: 6605.21 ms, recall: 1
Query 204: naive time: 6405.68 ms, recall: 1
Query 205: naive time: 8701.94 ms, recall: 1
Query 206: naive time: 4905.93 ms, recall: 1
Query 207: naive time: 6918.17 ms, recall: 1
Query 208: naive time: 8623.86 ms, recall: 1
Query 209: naive time: 7947.52 ms, recall: 1
Query 210: naive time: 8951.05 ms, recall: 1
Query 211: naive time: 7862.23 ms, recall: 1
Query 212: naive time: 8877.85 ms, recall: 1
Query 213: naive time: 5136.47 ms, recall: 1
Query 214: naive time: 5372.22 ms, recall: 1
Query 215: naive time: 6495.63 ms, recall: 1
Query 216: naive time: 6292.22 ms, recall: 1
Query 217: naive time: 8564.24 ms, recall: 1
Query 218: naive time: 5776.04 ms, recall: 1
Query 219: naive time: 6940.31 ms, recall: 1
Query 220: naive time: 6886.1 ms, recall: 1
Query 221: naive time: 7220.08 ms, recall: 1
Query 222: naive time: 4632.3 ms, recall: 1
Query 223: naive time: 6645.28 ms, recall: 1
Query 224: naive time: 6572.59 ms, recall: 1
Query 225: naive time: 5396.08 ms, recall: 1
Query 226: naive time: 8163.22 ms, recall: 1
Query 227: naive time: 7395.32 ms, recall: 1
Query 228: naive time: 9936.33 ms, recall: 1
Query 229: naive time: 7469.03 ms, recall: 1
Query 230: naive time: 5902.67 ms, recall: 1
Query 231: naive time: 6832.97 ms, recall: 1
Query 232: naive time: 5011.19 ms, recall: 1
Query 233: naive time: 6006.96 ms, recall: 1
Query 234: naive time: 5955.99 ms, recall: 1
Query 235: naive time: 5454.85 ms, recall: 1
Query 236: naive time: 7813.81 ms, recall: 1
Query 237: naive time: 4574.06 ms, recall: 1
Query 238: naive time: 9750.86 ms, recall: 1
Query 239: naive time: 5252.59 ms, recall: 1
Query 240: naive time: 7534.52 ms, recall: 1
Query 241: naive time: 9498.37 ms, recall: 1
Query 242: naive time: 6999.58 ms, recall: 1
Query 243: naive time: 6506.59 ms, recall: 1
Query 244: naive time: 6858.17 ms, recall: 1
Query 245: naive time: 8528.36 ms, recall: 1
Query 246: naive time: 4825.01 ms, recall: 1
Query 247: naive time: 6946.19 ms, recall: 1
Query 248: naive time: 8488.62 ms, recall: 1
Query 249: naive time: 6534.52 ms, recall: 1
Query 250: naive time: 7677.95 ms, recall: 1
Query 251: naive time: 9184.09 ms, recall: 1
Query 252: naive time: 7243.03 ms, recall: 1
Query 253: naive time: 6379.46 ms, recall: 1
Query 254: naive time: 7484.69 ms, recall: 1
Query 255: naive time: 6371.68 ms, recall: 1
Query 256: naive time: 8427.72 ms, recall: 1
Query 257: naive time: 7194.1 ms, recall: 1
Query 258: naive time: 8217.69 ms, recall: 1
Query 259: naive time: 6308.5 ms, recall: 1
Query 260: naive time: 6972.06 ms, recall: 1
Query 261: naive time: 8410.3 ms, recall: 1
